arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count
ARR0005816,24/01/2026,mandi_039,Sugarcane,PBW-343,158.3,quintal,135
ARR0006030,4/22/2026,mandi033,Cotton,HD-2967,"43,655.0 KG",,128
ARR0010009,3/10/2026,MANDI004,paddy,,29140,kg,NA
ARR0022129,2/10/2026,MANDI040,गन्ना,Local,45813,KGS,131
ARR0015481,9/6/2026,mandi_028,Corn,Premium,"7,278.0 KG",,68
ARR0020630,16/08/2026,mandi_028,चावल,Local,32583,kg,36
ARR0005888,7/3/2026,M049,Corn,,182.46,quintal,NA
ARR0006650,06.09.2026,MANDI043,Rice,Local,18275,KG,128
ARR0002363,9/3/2026,MANDI026,corn,Pusa-1121,23947,KGS,29
ARR0010446,8/5/2026,mandi_026,Makki,Pusa-1121,17.899,tonnes,21
ARR0009069,5/15/2026,mandi022,Narma,Pusa-1121,5918,Kilo,76
ARR0020854,18-Jun-26,MANDI035,Sugarcane,Pusa-1121,158.72,Q,NA
ARR0023442,5/20/2026,56,Cotton,,25828,KGS,73
ARR0011135,20-Jun-26,MANDI035,paddy,Premium,37.528,T,138
ARR0000197,5/20/2026,MANDI-001,Narma,HD-2967,76.9 qtl,,118
,8-May-26,MANDI002,Makka,HD-2967,28557,Kgs,46
ARR0001203,4/4/2026,MANDI045,कपास,PBW-343,2683,KGS,12
ARR0009407,4/5/2026,mandi_051,Mustard,Local,108.06,Quintals,78
ARR0013714,31-Mar-26,mandi_038,cotton,Premium,37.288,Tonnes,41
ARR0002798,4/8/2026,43,Narma,Hybrid,354.98,Q,11
ARR0006770,6/25/2026,MANDI015,Gehun,Hybrid,141.83,Quintals,134
ARR0019634,3/25/2026,MANDI013,कपास,,18.137,tonnes,45
ARR0012525,6/25/2026,mandi_043,Makka,Premium,334.11,Q,119
ARR0016292,2/5/2026,MANDI-049,Makki,Pusa-1121,41458,kg,36
ARR0019272,5/3/2026,MANDI030,Sugarcane,Local,"39,083.0 KG",,104
ARR0004049,4/13/2026,MANDI003,Dhaan,Pusa-1121,21412,KG,56
ARR0002716,7/17/2026,mandi_057,Sugarcane,Hybrid,41389,Kgs,106
ARR0014184,12.02.2026,MANDI037,Mustard,PBW-343,"35,649.0 KG",,NA
ARR0008333,1/15/2026,mandi_054,Wheat,,-357.18,KG,133
ARR0000429,8/25/2026,mandi_039,Cotton,Hybrid,12.656,MT,76
ARR0024925,4-Aug-26,M024,wheat,,18344,KG,83
ARR0019727,30-Apr-26,MANDI034,कपास,PBW-343,40381,KGS,81
ARR0002477,3/28/2026,20,Chawal,Local,31.139,tonnes,150
ARR0000342,17.06.2026,MANDI-033,Narma,Premium,191.48,Q,30
ARR0023820,7/25/2026,M029,Mustard,Local,27200,KGS,NA
ARR0010204,21.07.2026,mandi006,Paddy,,2584,Kgs,102
ARR0000398,25/03/2026,MANDI-029,Makki,PBW-343,20.63 qtl,,44
ARR0020708,6/1/2026,M054,Narma,Hybrid,41.02,MT,60
ARR0020105,2/19/2026,MANDI028,Sarso,Pusa-1121,48.563,Tonnes,60
ARR0019842,30/03/2026,M056,sugarcane,Pusa-1121,2948,Kgs,112
ARR0014214,21/02/2026,mandi031,Ganne,Hybrid,478.99 qtl,,123
ARR0017781,24-May-26,31,Ganne,PBW-343,46065,kg,46
ARR0009910,28.04.2026,mandi_041,cotton,Pusa-1121,372.43,Q,42
ARR0008506,03.02.2026,MANDI024,Chawal,Hybrid,74.11,Qtl,96
ARR0023886,7/12/2026,MANDI-011,Makka,Local,15664,KG,14
ARR0006149,27/04/2026,mandi_041,Narma,Pusa-1121,4638,kg,103
ARR0023964,20-Jul-26,mandi_008,धान,,81.67,qtl,NA
ARR0003143,8/24/2026,34,Rice,HD-2967,401.5 qtl,,113
ARR0002588,6/5/2026,MANDI040,सरसों,,4.489,MT,137
ARR0002948,18.02.2026,MANDI019,GEHUN,,"12,646.0 KG",,146
ARR0015103,22.02.2026,MANDI050,Cotton,Pusa-1121,24245,Kgs,73
ARR0011288,4/1/2026,MANDI043,कपास,Pusa-1121,27259,kg,43
ARR0009656,4/1/2026,mandi_018,गन्ना,HD-2967,"7,537.0 KG",,NA
ARR0002899,7/23/2026,mandi_017,Narma,Hybrid,"41,341.0 KG",,134
ARR0013711,29.03.2026,MANDI028,sugarcane,Hybrid,47.79,Q,15
ARR0009578,4/12/2026,MANDI016,corn,Pusa-1121,309.79,Qtl,20
ARR0005981,5/4/2026,mandi_004,Rice,Premium,22842,kg,145
ARR0023291,11/2/2026,MANDI020,गेहूं,Premium,80.86,Q,89
ARR0009654,13/03/2026,MANDI030,sugarcane,,"24,318.0 KG",,31
ARR0012458,8-May-26,mandi_039,Mustard,Pusa-1121,276.83,Quintals,24
ARR0014621,5/23/2026,mandi056,sugarcane,Local,"26,952.999999999996 KG",,80
ARR0016696,31/01/2026,M039,Makka,Pusa-1121,6202,Kilo,132
ARR0004195,7/17/2026,MANDI035,mustard,PBW-343,16784,Kilo,129
ARR0014009,4/8/2026,M007,Corn,,418.67,quintal,85
ARR0002509,31/05/2026,MANDI013,मक्का,HD-2967,2.2,tonnes,141
ARR0017972,26.02.2026,mandi034,Dhaan,Local,29340,kg,6
ARR0002169,1/9/2026,MANDI039,Dhaan,Hybrid,-54.89,KG,41
,8/19/2026,mandi044,wheat,Hybrid,16.017,T,138
ARR0003269,4/3/2026,MANDI046,Chawal,PBW-343,41.098,tonnes,43
ARR0009004,27-Mar-26,MANDI023,wheat,,-455.48,KG,120
ARR0018741,20/02/2026,mandi_056,Ganna,Premium,256.67,Qtl,31
ARR0014531,3-Feb-26,MANDI-036,कपास,,-453.42,KG,38
ARR0003705,4/10/2026,2,Mustard,Hybrid,24.501,T,NA
ARR0010827,29/05/2026,MANDI016,Chawal,Premium,156.22,Qtl,95
ARR0018637,04.04.2026,MANDI046,Dhaan,Hybrid,-77.12,Qtl,67
ARR0007570,29-Jul-26,MANDI-019,mustard,Premium,32635,kg,105
ARR0011179,30/03/2026,mandi_040,Sarso,,32.755,Tonnes,26
ARR0009296,5/10/2026,mandi_001,Makka,,2.35,MT,NA
ARR0019940,21.08.2026,mandi022,Sugarcane,HD-2967,1.633,Tonnes,68
ARR0004811,26.05.2026,MANDI020,Rice,Hybrid,8974,Kilo,77
ARR0020960,3/3/2026,mandi_047,Sarson,Premium,32315,Kilo,NA
ARR0002791,2/6/2026,M055,Sarson,PBW-343,21128,Kgs,47
ARR0012957,2/10/2026,MANDI019,Chawal,Local,27.808,Tonnes,36
ARR0022933,08.04.2026,MANDI037,Kapas,Premium,28.54 qtl,,9
ARR0014544,7/31/2026,MANDI022,मक्का,Pusa-1121,11.488,MT,116
ARR0013198,25/04/2026,MANDI010,Wheat,Pusa-1121,59.22,Qtl,43
ARR0007340,3/23/2026,MANDI012,Kanak,Premium,21570,Kgs,80
ARR0020658,8/1/2026,MANDI021,Paddy,Hybrid,40.966,MT,96
ARR0001088,5/7/2026,MANDI-017,Sarson,Pusa-1121,495.58,qtl,94
ARR0024650,18/08/2026,MANDI-049,Mustard,Hybrid,-11.34,KG,61
ARR0008152,6/8/2026,MANDI-008,Cotton,,188.7 qtl,,147
ARR0021890,6/2/2026,MANDI009,Sugarcane,,493.91,quintal,84
ARR0007925,7/19/2026,MANDI037,Mustard,Local,66.2 qtl,,32
ARR0017611,12-Apr-26,MANDI024,मक्का,Hybrid,165.63,Quintals,77
ARR0016207,07.07.2026,MANDI032,Makki,Pusa-1121,"31,000.0 KG",,34
ARR0024181,7/5/2026,mandi_015,Sugarcane,Local,110.39,Qtl,20
ARR0004419,3/21/2026,MANDI006,Sugarcane,Hybrid,64.7,qtl,105
ARR0006199,11/2/2026,M053,Sugarcane,Local,153.27,qtl,79
ARR0014957,1/9/2026,mandi_019,Sarso,Hybrid,40396,KG,79
ARR0023574,26.02.2026,MANDI023,Mustard,Premium,431.18,quintal,129
ARR0017021,14.03.2026,MANDI020,Paddy,Pusa-1121,2536,Kgs,72
ARR0001428,7/10/2026,mandi_024,Maize,Hybrid,-77.75,Qtl,106
ARR0002493,14-Apr-26,MANDI-006,paddy,Local,-115.25,KG,63
ARR0013505,6/6/2026,mandi_052,mustard,,96.35,quintal,NA
ARR0002010,3/21/2026,MANDI-033,WHEAT,Local,-432.01,KG,12
ARR0002534,2-Jul-26,M007,सरसों,Pusa-1121,4.398,tonnes,21
ARR0009802,9/7/2026,MANDI026,cotton,HD-2967,486.01,Quintals,12
ARR0015940,13.03.2026,MANDI-028,Maize,,298.47,quintal,18
ARR0005817,20-Mar-26,MANDI013,corn,,287.47 qtl,,12
ARR0023731,3/15/2026,MANDI008,Ganna,HD-2967,38.978,tonnes,NA
ARR0018857,1/25/2026,MANDI042,गन्ना,Hybrid,151.28,Quintals,113
ARR0010088,1/9/2026,MANDI049,सरसों,PBW-343,-136.17,Qtl,NA
ARR0020189,24/05/2026,mandi_057,Makka,,241.75,Quintals,68
ARR0022768,28-Jun-26,mandi_024,सरसों,Premium,44371,Kilo,42
ARR0018919,17/03/2026,MANDI024,Sarson,,7807,Kgs,132
ARR0006562,4/19/2026,MANDI014,Gehun,PBW-343,"25,811.0 KG",,25
ARR0004149,4/6/2026,MANDI003,Rice,Premium,318.3,Q,48
ARR0024592,28.08.2026,MANDI037,Chawal,PBW-343,62.98 qtl,,55
ARR0011429,8/4/2026,mandi_042,WHEAT,Local,19312,KGS,101
ARR0018153,2/5/2026,mandi_027,Narma,Local,45102,KGS,141
ARR0006286,3/3/2026,MANDI-050,Makki,PBW-343,"30,038.0 KG",,7
ARR0000231,6/7/2026,mandi049,Sugarcane,Hybrid,185.56 qtl,,82
ARR0018527,8/1/2026,MANDI010,Kanak,Local,42538,kg,144
ARR0008215,22.05.2026,mandi003,sugarcane,Local,"7,380.0 KG",,73
ARR0010793,8/23/2026,22,Chawal,Hybrid,42.579,T,132
ARR0006601,22.06.2026,15,सरसों,HD-2967,-147.26,KG,5
ARR0023800,9-Sep-26,MANDI012,sugarcane,PBW-343,"1,900.0 KG",,123
ARR0021788,6/7/2026,MANDI-016,Ganna,Hybrid,15.367,T,143
ARR0019846,6/21/2026,mandi_024,मक्का,Pusa-1121,25971,Kgs,40
ARR0015205,25.01.2026,MANDI011,Basmati,HD-2967,355.64,Quintals,56
ARR0008780,1/30/2026,mandi038,Basmati,PBW-343,"38,516.0 KG",,130
ARR0006070,6/6/2026,MANDI034,Wheat,,31.294,Tonnes,65
ARR0002035,06.06.2026,MANDI049,मक्का,,15.395,tonnes,97
ARR0002214,1/24/2026,mandi044,Corn,Pusa-1121,2592,Kilo,112
ARR0017078,29.06.2026,mandi_007,Mustard,Pusa-1121,"31,873.0 KG",,31
ARR0004860,30-Mar-26,MANDI013,mustard,Hybrid,9.693,MT,143
ARR0024883,18.07.2026,mandi_028,Maize,Hybrid,29.87 qtl,,131
ARR0012995,6/4/2026,MANDI057,mustard,,38554,Kilo,26
ARR0002230,5/31/2026,MANDI-033,WHEAT,Pusa-1121,36.46,tonnes,127
ARR0002276,30.08.2026,MANDI057,Ganne,,-143.27,KG,113
,9/6/2026,MANDI-046,Narma,Local,360.53 qtl,,135
ARR0005679,3/3/2026,mandi_015,Kapas,Hybrid,140.36,Q,51
ARR0018820,10/5/2026,M032,Sarso,Premium,181.14 qtl,,116
ARR0002749,24/01/2026,MANDI031,Paddy,,118.37 qtl,,NA
ARR0010291,21-Jun-26,MANDI036,कपास,PBW-343,456.27 qtl,,118
ARR0004786,8/1/2026,M015,गन्ना,,18558,kg,51
ARR0004085,19.05.2026,MANDI056,मक्का,PBW-343,106.05,Qtl,38
ARR0001476,5/19/2026,MANDI048,Ganne,Local,323.65,qtl,68
ARR0014866,15-Apr-26,mandi_032,Ganna,PBW-343,402.65,Quintals,53
ARR0005733,9/8/2026,mandi048,Ganna,Hybrid,118.61 qtl,,42
ARR0014885,26-Jul-26,MANDI035,Basmati,Premium,441.08,Quintals,14
ARR0009501,5/18/2026,MANDI-045,corn,PBW-343,"45,235.0 KG",,62
ARR0017324,30/01/2026,29,Mustard,Premium,31141,KG,140
ARR0018785,08.09.2026,MANDI009,wheat,Premium,16.848,T,81
ARR0014174,4/23/2026,MANDI-031,Ganne,,24635,Kgs,83
ARR0012348,16/05/2026,57,Corn,Pusa-1121,2.8,Tonnes,NA
ARR0002860,25.08.2026,MANDI038,धान,,16244,KG,90
,4/6/2026,MANDI008,Kanak,Pusa-1121,24.543,T,116
ARR0012382,6/29/2026,MANDI-011,Sarso,Hybrid,3.639,Tonnes,NA
ARR0011204,10/3/2026,mandi_045,Corn,PBW-343,31170,kg,NA
ARR0005655,1/9/2026,mandi025,Paddy,Premium,46.13,tonnes,124
ARR0023591,5/18/2026,MANDI039,Cotton,HD-2967,160.01,Qtl,50
ARR0022554,11.03.2026,M055,चावल,Hybrid,33341,KG,24
ARR0024390,08.05.2026,mandi042,Basmati,,39363,kg,7
ARR0008952,25/04/2026,MANDI002,sugarcane,Pusa-1121,394.35,Qtl,89
ARR0013573,6/8/2026,MANDI-015,Ganne,Hybrid,408.09 qtl,,6
ARR0023352,6/6/2026,mandi044,Gehun,,25.205,T,6
ARR0004259,7/10/2026,M012,Cotton,,38822,kg,22
ARR0024540,14/06/2026,MANDI-035,Ganne,HD-2967,38.59,Quintals,NA
ARR0012558,8/21/2026,MANDI034,कपास,Premium,"33,176.0 KG",,7
ARR0013252,7/30/2026,3,Narma,HD-2967,-217.71,KG,93
ARR0012739,7/30/2026,MANDI045,Dhaan,,-388.99,Qtl,NA
ARR0024633,3/13/2026,mandi_011,Chawal,PBW-343,18.99 qtl,,23
ARR0016432,2/19/2026,MANDI027,कपास,Premium,480.16,quintal,128
ARR0001973,1/8/2026,MANDI040,Sarson,PBW-343,43559,Kgs,115
ARR0019423,1/31/2026,MANDI039,Sarso,Premium,29.219,Tonnes,148
ARR0018095,3-Jun-26,M017,paddy,HD-2967,"45,987.0 KG",,104
ARR0002502,6/23/2026,41,Dhaan,Premium,12.386,T,63
ARR0020339,31/03/2026,M028,Sarson,PBW-343,1084,Kilo,127
ARR0007666,31/07/2026,MANDI053,Gehun,,258.79,qtl,69
ARR0000753,7/11/2026,MANDI-008,WHEAT,Pusa-1121,48146,Kilo,36
ARR0009620,7/19/2026,MANDI017,Maize,PBW-343,41.35,qtl,33
ARR0004038,14/07/2026,MANDI040,धान,PBW-343,355.78,Quintals,69
ARR0003704,1/1/2026,MANDI010,कपास,Premium,-34.57,KG,7
ARR0008822,20/06/2026,MANDI043,Mustard,Hybrid,341.77 qtl,,31
ARR0005546,5-Sep-26,MANDI-014,Wheat,PBW-343,"29,336.0 KG",,137
ARR0014760,20-Jan-26,mandi047,मक्का,Pusa-1121,40.72,MT,NA
ARR0008484,4/9/2026,MANDI039,sugarcane,Pusa-1121,49169,KGS,63
ARR0007108,28/02/2026,mandi055,corn,PBW-343,22.572,T,108
ARR0000675,02.07.2026,MANDI050,Narma,HD-2967,176.92,qtl,12
ARR0005515,2/24/2026,MANDI054,Sarso,,178.87,Qtl,70
ARR0023195,01.05.2026,mandi036,सरसों,Premium,40.871,MT,136
ARR0008616,20/01/2026,MANDI-004,Sarso,Local,155.42,qtl,147
ARR0011388,8/6/2026,MANDI016,सरसों,Pusa-1121,"10,959.0 KG",,40
ARR0009854,6/2/2026,MANDI-011,Makka,HD-2967,"39,228.0 KG",,136
ARR0024014,21-Apr-26,MANDI017,Ganne,Hybrid,17.15,T,73
ARR0006483,4/29/2026,MANDI-034,गन्ना,,189.87,Qtl,93
ARR0020999,8/29/2026,mandi_013,कपास,Pusa-1121,276.65 qtl,,73
ARR0003190,9-Aug-26,MANDI-027,mustard,,44.707,MT,109
ARR0013399,4/5/2026,mandi045,गेहूं,Premium,415.6,Q,43
ARR0018530,8/31/2026,MANDI008,Kapas,,"5,680.0 KG",,108
ARR0005184,2/11/2026,MANDI026,wheat,Local,1.057,MT,NA
ARR0023040,19.02.2026,MANDI038,Cotton,PBW-343,355.5,Qtl,18
ARR0010762,3/7/2026,M038,Narma,Pusa-1121,29679,Kgs,140
ARR0022839,7/6/2026,MANDI024,GEHUN,Premium,-322.05,Qtl,59
ARR0000200,26.03.2026,MANDI031,गेहूं,,37.063,tonnes,117
ARR0018054,3/2/2026,mandi_021,cotton,,71.58,quintal,126
ARR0021355,7/1/2026,MANDI053,Ganna,Local,34856,Kilo,8
ARR0009384,12/5/2026,mandi038,paddy,Premium,222.33 qtl,,141
ARR0008050,4/27/2026,MANDI-022,Kanak,,22936,KG,107
ARR0016904,26/08/2026,MANDI021,Kapas,Pusa-1121,"18,828.0 KG",,149
ARR0021340,3/10/2026,mandi021,Wheat,HD-2967,13321,Kilo,77
ARR0013462,5/27/2026,MANDI035,सरसों,Local,48838,KGS,102
ARR0013518,8/3/2026,MANDI-024,WHEAT,Local,32.26,qtl,22
ARR0022679,6/22/2026,mandi_022,Rice,Premium,310.12,Q,NA
ARR0021328,6/17/2026,mandi011,Rice,HD-2967,30.291,Tonnes,87
ARR0002215,21/06/2026,M018,mustard,PBW-343,"40,388.0 KG",,14
ARR0021259,3/7/2026,MANDI036,wheat,Pusa-1121,201.02,Qtl,130
ARR0008961,6/3/2026,MANDI004,Mustard,Hybrid,269.64,qtl,19
ARR0012533,8/28/2026,M015,सरसों,Local,164.03,Q,36
ARR0005019,16.07.2026,MANDI-048,Mustard,Local,103.01,Qtl,66
ARR0021299,23.07.2026,mandi_050,mustard,Premium,"17,815.0 KG",,113
ARR0014712,2/24/2026,MANDI-041,Wheat,PBW-343,2.249,MT,63
ARR0018335,1/29/2026,mandi_028,Makki,Pusa-1121,22.728,MT,20
ARR0006137,4/6/2026,MANDI048,Makki,PBW-343,23.148,tonnes,47
,19.05.2026,mandi_023,Sugarcane,PBW-343,41.294,T,128
ARR0021669,6/20/2026,MANDI012,Makka,Hybrid,46353,Kgs,137
ARR0003712,7/2/2026,mandi057,Kanak,Premium,257.08,quintal,NA
ARR0001924,06.06.2026,MANDI054,Basmati,HD-2967,440.88,Quintals,NA
ARR0002791,2/6/2026,M055,Sarson,PBW-343,21128,Kgs,47
ARR0023382,4/3/2026,MANDI013,WHEAT,Premium,1855,kg,74
ARR0024128,3/24/2026,MANDI-027,Makka,HD-2967,120.76 qtl,,64
ARR0006109,15/07/2026,MANDI039,Paddy,Local,496.52 qtl,,115
ARR0012814,7/5/2026,MANDI024,Ganne,Hybrid,34975,kg,7
ARR0005571,28/08/2026,MANDI-053,Gehun,,49.64,tonnes,115
ARR0020401,8/13/2026,MANDI021,Sarso,Local,24485,KG,71
ARR0011080,14.01.2026,MANDI030,धान,PBW-343,-240.18,Qtl,141
ARR0016547,26/06/2026,40,sugarcane,,357.81,qtl,46
ARR0017342,8/8/2026,mandi_012,धान,Pusa-1121,43.614,T,83
ARR0022098,4/16/2026,mandi_048,धान,Hybrid,11.55,Qtl,72
ARR0021088,02.06.2026,MANDI-041,Sarson,,15.213,T,40
ARR0003046,8/5/2026,MANDI012,Cotton,Pusa-1121,49807,Kgs,97
ARR0015533,6/26/2026,55,Corn,Pusa-1121,463.12,Quintals,NA
ARR0020782,6/1/2026,mandi021,धान,HD-2967,230.67,Qtl,76
ARR0008024,1/11/2026,MANDI029,Chawal,Local,55.88 qtl,,16
ARR0006965,2/9/2026,MANDI015,Basmati,Premium,40641,kg,149
ARR0002409,11.06.2026,mandi_001,Narma,Local,19.569,tonnes,38
ARR0006420,8/6/2026,mandi023,धान,Local,260.7,Q,96
ARR0007794,6/6/2026,mandi012,मक्का,,19.27 qtl,,147
ARR0016831,23.07.2026,M009,चावल,Local,22.359,Tonnes,71
ARR0024611,27/03/2026,MANDI053,Sarso,HD-2967,2.031,tonnes,45
ARR0012843,1-Mar-26,MANDI-042,चावल,Pusa-1121,37.943,MT,128
ARR0002056,4/18/2026,MANDI048,Sugarcane,Premium,27.957,tonnes,103
ARR0020089,7/7/2026,MANDI041,Mustard,PBW-343,-362.66,Qtl,51
ARR0011027,20-May-26,24,मक्का,Premium,446.81,qtl,71
ARR0015396,20.05.2026,MANDI051,sugarcane,PBW-343,"25,313.0 KG",,86
ARR0007269,1/21/2026,MANDI053,मक्का,Premium,218.99,qtl,146
ARR0014557,7/25/2026,MANDI047,Ganne,Local,5.654,tonnes,65
ARR0022876,8/13/2026,MANDI-052,Makki,PBW-343,375.15,Qtl,83
ARR0003097,3/2/2026,mandi_018,Mustard,PBW-343,156.85,Q,12
ARR0004700,7/20/2026,MANDI052,sugarcane,PBW-343,27.966,Tonnes,13
ARR0022023,31/08/2026,MANDI014,mustard,Local,491.42,quintal,72
ARR0008608,4/8/2026,M014,धान,Pusa-1121,403.87,Quintals,115
ARR0021026,19/07/2026,MANDI018,Chawal,HD-2967,41.854,tonnes,147
ARR0008158,5/8/2026,M010,चावल,PBW-343,25.412,tonnes,47
ARR0004933,5/22/2026,mandi019,Wheat,PBW-343,131.99,Q,47
ARR0010220,4/14/2026,MANDI011,corn,HD-2967,18.115,tonnes,11
ARR0017103,14-Mar-26,MANDI-042,Basmati,Local,"32,404.000000000004 KG",,121
ARR0005077,5/16/2026,M030,मक्का,Hybrid,407.56,quintal,118
ARR0006915,6/29/2026,MANDI-017,Sarson,PBW-343,7.522,tonnes,115
ARR0022385,06.08.2026,MANDI026,Sarso,PBW-343,3.18,Tonnes,63
ARR0009730,8/28/2026,MANDI047,चावल,PBW-343,15.797,Tonnes,47
ARR0005100,5/16/2026,MANDI-051,Makka,Premium,350.32,quintal,87
ARR0021334,27.01.2026,MANDI053,Makka,Premium,"6,537.0 KG",,71
ARR0007338,3/17/2026,mandi_048,चावल,Local,209.82,Qtl,NA
ARR0016170,24-Jun-26,mandi_032,Paddy,HD-2967,370.98 qtl,,NA
ARR0013792,4/1/2026,M049,धान,PBW-343,5951,Kilo,145
ARR0007917,9/6/2026,MANDI-007,गन्ना,Hybrid,29.35,Quintals,130
ARR0007919,27-Jul-26,mandi023,Gehun,Local,41668,KG,139
ARR0016589,10/2/2026,MANDI009,paddy,Premium,49280,KG,44
ARR0022064,8/6/2026,M004,sugarcane,PBW-343,"46,441.0 KG",,138
ARR0013197,5/7/2026,mandi_006,Corn,Hybrid,294.27,Quintals,NA
ARR0012899,15/03/2026,mandi_029,paddy,Pusa-1121,-348.37,KG,127
ARR0024644,5/4/2026,MANDI009,mustard,Pusa-1121,174.81,qtl,64
ARR0022381,2/4/2026,MANDI-001,Corn,Hybrid,-220.44,KG,121
ARR0024611,27/03/2026,MANDI053,Sarso,HD-2967,2.031,tonnes,45
ARR0009914,4/7/2026,MANDI-020,Kanak,Premium,-491.65,Qtl,18
ARR0005461,5/11/2026,MANDI002,Cotton,,18497,KGS,74
