Arrival_ID,Date,Mandi_ID,Crop_Name,Variety,Arrival_Quantity_Quintals,Arrival_Quantity_Mt,Arrival_Quantity_Kg,Reported_Quantity,Reported_Unit,Farmer_Count,Is_Arrival_ID_Imputed,Is_Quantity_Negative_Flag
ARR0024081,06/02/2026,MANDI001,Maize,Premium,176.58,17.658,17658.0,17.658,Metric Tonne,114,False,False
ARR0004603,08/08/2026,MANDI001,Sugarcane,PBW-343,313.99,31.399,31399.0,31.399,Metric Tonne,28,False,False
ARR0020119,04/08/2026,MANDI001,Cotton,HD-2967,427.61,42.761,42761.0,42761.0,Kilogram,,False,False
ARR0006422,07/01/2026,MANDI001,Mustard,,214.64,21.464,21464.0,214.64,Quintal,130,False,False
ARR0020236,27/01/2026,MANDI001,Cotton,HD-2967,382.93,38.293,38293.0,382.93,Quintal,36,False,True
ARR0020011,14/07/2026,MANDI001,Maize,Local,90.67,9.067,9067.0,9067.0,Kilogram,13,False,False
ARR0015663,01/01/2026,MANDI001,Maize,,94.73,9.473,9473.0,9473.0,Kilogram,62,False,False
ARR0020197,23/05/2026,MANDI001,Wheat,Hybrid,330.32,33.032,33032.0,330.32,Quintal,123,False,False
ARR0006589,19/03/2026,MANDI001,Wheat,HD-2967,130.24,13.024,13024.0,13.024,Metric Tonne,76,False,False
ARR0012319,27/06/2026,MANDI001,Sugarcane,Premium,64.26,6.426,6426.0,64.26,Quintal,36,False,False
ARR0002191,04/09/2026,MANDI001,Wheat,HD-2967,325.44,32.544,32544.0,32544.0,Kilogram,93,False,False
ARR0010617,11/08/2026,MANDI001,Wheat,Local,148.2,14.82,14820.0,148.2,Quintal,114,False,False
ARR0011336,23/01/2026,MANDI001,Mustard,,101.19,10.119,10119.0,10119.0,Kilogram,129,False,False
ARR0011461,01/05/2026,MANDI001,Wheat,Local,77.29,7.729,7729.0,77.29,Quintal,93,False,False
ARR0004545,25/06/2026,MANDI001,Rice,PBW-343,324.08,32.408,32408.0,32408.0,Kilogram,,False,False
ARR0003760,16/06/2026,MANDI001,Paddy,Premium,95.0,9.5,9500.0,95.0,Quintal,120,False,False
ARR0016634,08/01/2026,MANDI001,Wheat,Hybrid,459.87,45.987,45987.0,459.87,Quintal,23,False,False
ARR0017319,01/08/2026,MANDI001,Cotton,Premium,142.17,14.217,14217.0,142.17,Quintal,69,False,False
ARR0002103,16/06/2026,MANDI001,Cotton,Premium,42.67,4.267,4267.0,42.67,Quintal,16,False,False
ARR0008525,09/03/2026,MANDI001,Mustard,HD-2967,297.49,29.749,29749.0,29.749,Metric Tonne,61,False,False
ARR0016902,04/03/2026,MANDI001,Mustard,HD-2967,425.38,42.538,42538.0,42.538,Metric Tonne,,False,False
ARR0010945,21/08/2026,MANDI001,Sugarcane,Local,453.96,45.396,45396.0,45396.0,Kilogram,52,False,False
ARR0022374,06/01/2026,MANDI001,Cotton,PBW-343,425.11,42.511,42511.0,42511.0,Kilogram,115,False,False
ARR0002648,21/04/2026,MANDI001,Mustard,PBW-343,354.09,35.409,35409.0,35.409,Metric Tonne,50,False,False
ARR0023156,27/02/2026,MANDI001,Paddy,,227.42,22.742,22742.0,22.742,Metric Tonne,67,False,False
ARR0019874,06/07/2026,MANDI001,Maize,PBW-343,97.58,9.758,9758.0,97.58,Quintal,143,False,False
ARR0000948,07/04/2026,MANDI001,Wheat,Hybrid,424.29,42.429,42429.0,424.29,Quintal,11,False,False
ARR0006145,29/03/2026,MANDI001,Sugarcane,HD-2967,265.16,26.516,26516.0,26516.0,Kilogram,146,False,False
ARR0009228,17/01/2026,MANDI001,Mustard,,277.35,27.735,27735.0,277.35,Quintal,71,False,False
ARR0023646,15/03/2026,MANDI001,Sugarcane,HD-2967,428.4,42.84,42840.0,42.84,Metric Tonne,9,False,False
ARR0008396,04/04/2026,MANDI001,Sugarcane,Pusa-1121,164.77,16.477,16477.0,16477.0,Kilogram,82,False,False
ARR0002229,27/02/2026,MANDI001,Wheat,Pusa-1121,125.16,12.516,12516.0,12.516,Metric Tonne,24,False,False
ARR0020784,06/05/2026,MANDI001,Sugarcane,Pusa-1121,182.65,18.265,18265.0,182.65,Quintal,26,False,False
ARR0010810,26/05/2026,MANDI001,Wheat,Premium,324.85,32.485,32485.0,324.85,Quintal,105,False,False
ARR0013745,25/04/2026,MANDI001,Sugarcane,PBW-343,461.04,46.104,46104.0,46.104,Metric Tonne,,False,False
ARR0022002,11/03/2026,MANDI001,Cotton,,384.81,38.481,38481.0,384.81,Quintal,69,False,False
ARR0006189,31/03/2026,MANDI001,Sugarcane,Local,320.11,32.011,32011.0,32011.0,Kilogram,147,False,False
ARR0008442,24/03/2026,MANDI001,Paddy,PBW-343,33.24,3.324,3324.0,33.24,Quintal,59,False,False
ARR0013551,22/03/2026,MANDI001,Sugarcane,Hybrid,288.13,28.813,28813.0,28.813,Metric Tonne,19,False,False
ARR0023827,18/08/2026,MANDI001,Basmati Rice,HD-2967,483.73,48.373,48373.0,483.73,Quintal,,False,False
ARR0018162,15/04/2026,MANDI001,Mustard,PBW-343,462.15,46.215,46215.0,46215.0,Kilogram,94,False,False
ARR0014967,09/02/2026,MANDI001,Maize,Hybrid,250.39,25.039,25039.0,250.39,Quintal,150,False,False
ARR0010378,06/04/2026,MANDI001,Cotton,Local,156.02,15.602,15602.0,156.02,Quintal,108,False,False
ARR0003953,06/11/2026,MANDI001,Basmati Rice,Premium,3.2828,0.3283,328.28,328.28,Kilogram,,False,True
ARR0021213,20/02/2026,MANDI001,Cotton,Pusa-1121,359.78,35.978,35978.0,359.78,Quintal,,False,False
ARR0003637,09/04/2026,MANDI001,Wheat,HD-2967,172.71,17.271,17271.0,17271.0,Kilogram,86,False,False
ARR0021070,31/03/2026,MANDI001,Maize,PBW-343,384.93,38.493,38493.0,38.493,Metric Tonne,124,False,False
ARR0003667,01/03/2026,MANDI001,Cotton,HD-2967,307.12,30.712,30712.0,307.12,Quintal,137,False,False
ARR0023930,30/05/2026,MANDI001,Rice,HD-2967,499.3,49.93,49930.0,49930.0,Kilogram,94,False,False
ARR_IMP00420,18/06/2026,MANDI001,Mustard,,4.3464,0.4346,434.64,434.64,Kilogram,,True,True
ARR0022034,27/04/2026,MANDI001,Wheat,Local,11.66,1.166,1166.0,1166.0,Kilogram,134,False,False
ARR0007619,04/07/2026,MANDI001,Maize,PBW-343,209.01,20.901,20901.0,20901.0,Kilogram,61,False,False
ARR0005206,19/07/2026,MANDI001,Sugarcane,Hybrid,252.27,25.227,25227.0,252.27,Quintal,44,False,False
ARR0014095,05/07/2026,MANDI001,Rice,Local,186.01,18.601,18601.0,18601.0,Kilogram,90,False,False
ARR0010495,13/06/2026,MANDI001,Maize,,184.25,18.425,18425.0,18425.0,Kilogram,132,False,False
ARR0008327,30/03/2026,MANDI001,Rice,Pusa-1121,479.24,47.924,47924.0,47924.0,Kilogram,76,False,False
ARR0012646,31/07/2026,MANDI001,Mustard,HD-2967,37.26,3.726,3726.0,37.26,Quintal,85,False,False
ARR0021535,16/08/2026,MANDI001,Sugarcane,Premium,433.99,43.399,43399.0,433.99,Quintal,70,False,False
ARR0023702,22/04/2026,MANDI001,Mustard,,297.16,29.716,29716.0,29716.0,Kilogram,29,False,False
ARR0008312,02/09/2026,MANDI001,Mustard,Hybrid,484.77,48.477,48477.0,48477.0,Kilogram,89,False,False
ARR0000293,05/03/2026,MANDI001,Mustard,PBW-343,435.48,43.548,43548.0,43548.0,Kilogram,29,False,False
ARR0013498,07/01/2026,MANDI001,Sugarcane,,456.73,45.673,45673.0,45673.0,Kilogram,75,False,False
ARR0024829,18/02/2026,MANDI001,Sugarcane,HD-2967,30.08,3.008,3008.0,30.08,Quintal,95,False,False
ARR0008466,13/05/2026,MANDI001,Maize,Local,4.9481,0.4948,494.81,494.81,Kilogram,123,False,True
ARR0018819,08/02/2026,MANDI001,Sugarcane,Premium,366.82,36.682,36682.0,36.682,Metric Tonne,98,False,False
ARR0016972,03/07/2026,MANDI001,Sugarcane,Local,215.32,21.532,21532.0,215.32,Quintal,110,False,False
ARR0024034,10/06/2026,MANDI001,Maize,Local,258.17,25.817,25817.0,25817.0,Kilogram,60,False,False
ARR0003250,26/08/2026,MANDI001,Maize,PBW-343,492.09,49.209,49209.0,49.209,Metric Tonne,40,False,False
ARR0020931,02/07/2026,MANDI001,Wheat,PBW-343,237.94,23.794,23794.0,237.94,Quintal,7,False,False
ARR0011997,05/09/2026,MANDI001,Sugarcane,Premium,377.17,37.717,37717.0,37.717,Metric Tonne,54,False,False
ARR0015562,06/05/2026,MANDI001,Sugarcane,Local,75.94,7.594,7594.0,75.94,Quintal,134,False,True
ARR0013122,31/08/2026,MANDI001,Rice,Hybrid,26.99,2.699,2699.0,26.99,Quintal,140,False,True
ARR0019635,13/02/2026,MANDI001,Wheat,Hybrid,381.89,38.189,38189.0,381.89,Quintal,125,False,False
ARR0003010,28/05/2026,MANDI001,Cotton,HD-2967,226.1,22.61,22610.0,226.1,Quintal,150,False,False
ARR0003592,21/03/2026,MANDI001,Mustard,HD-2967,300.02,30.002,30002.0,300.02,Quintal,55,False,False
ARR0011065,15/01/2026,MANDI001,Sugarcane,Local,479.97,47.997,47997.0,47.997,Metric Tonne,62,False,False
ARR0009987,19/04/2026,MANDI001,Maize,HD-2967,304.64,30.464,30464.0,30464.0,Kilogram,132,False,False
ARR0000642,02/01/2026,MANDI001,Mustard,PBW-343,95.03,9.503,9503.0,9.503,Metric Tonne,,False,False
ARR0004544,17/03/2026,MANDI001,Wheat,PBW-343,348.55,34.855,34855.0,348.55,Quintal,29,False,False
ARR0014669,05/06/2026,MANDI001,Cotton,HD-2967,257.48,25.748,25748.0,257.48,Quintal,30,False,False
ARR0023994,14/04/2026,MANDI001,Paddy,Premium,424.21,42.421,42421.0,42.421,Metric Tonne,108,False,False
ARR0021450,29/01/2026,MANDI001,Rice,Premium,152.82,15.282,15282.0,152.82,Quintal,118,False,False
ARR0012935,28/05/2026,MANDI001,Wheat,PBW-343,420.44,42.044,42044.0,420.44,Quintal,,False,False
ARR0007010,03/06/2026,MANDI001,Cotton,HD-2967,451.94,45.194,45194.0,451.94,Quintal,140,False,False
ARR0011392,28/01/2026,MANDI001,Mustard,Hybrid,235.51,23.551,23551.0,23551.0,Kilogram,93,False,False
ARR0022381,04/02/2026,MANDI001,Maize,Hybrid,2.2044,0.2204,220.44,220.44,Kilogram,121,False,True
ARR0021174,05/08/2026,MANDI001,Maize,HD-2967,315.97,31.597,31597.0,315.97,Quintal,62,False,False
ARR0001200,06/06/2026,MANDI001,Mustard,Pusa-1121,302.8,30.28,30280.0,30280.0,Kilogram,15,False,False
ARR0005362,12/05/2026,MANDI001,Cotton,Premium,407.88,40.788,40788.0,407.88,Quintal,68,False,False
ARR0015483,20/01/2026,MANDI001,Maize,Hybrid,401.19,40.119,40119.0,401.19,Quintal,83,False,False
ARR0019051,08/05/2026,MANDI001,Paddy,Pusa-1121,333.98,33.398,33398.0,333.98,Quintal,60,False,False
ARR0015206,16/02/2026,MANDI001,Sugarcane,,128.33,12.833,12833.0,12833.0,Kilogram,122,False,False
ARR0023687,20/07/2026,MANDI001,Cotton,HD-2967,313.79,31.379,31379.0,31.379,Metric Tonne,55,False,False
ARR0008825,11/02/2026,MANDI001,Paddy,,206.47,20.647,20647.0,20647.0,Kilogram,95,False,False
ARR0005413,01/01/2026,MANDI001,Sugarcane,Pusa-1121,499.91,49.991,49991.0,49991.0,Kilogram,83,False,False
ARR0002552,01/06/2026,MANDI001,Sugarcane,,289.29,28.929,28929.0,28929.000000000004,Kilogram,94,False,False
ARR0021309,16/02/2026,MANDI001,Wheat,Premium,255.85,25.585,25585.0,255.85,Quintal,,False,True
ARR0012956,13/03/2026,MANDI001,Wheat,Premium,364.03,36.403,36403.0,36.403,Metric Tonne,72,False,False
ARR0023506,01/03/2026,MANDI001,Sugarcane,Pusa-1121,77.92,7.792,7792.0,77.92,Quintal,95,False,False
ARR0004014,16/04/2026,MANDI001,Mustard,HD-2967,127.29,12.729,12729.0,127.29,Quintal,60,False,False
ARR0006852,23/02/2026,MANDI001,Mustard,HD-2967,455.16,45.516,45516.0,45516.0,Kilogram,12,False,False
ARR0013966,29/07/2026,MANDI001,Mustard,Premium,491.03,49.103,49103.0,49103.0,Kilogram,84,False,False
ARR0007469,29/01/2026,MANDI001,Wheat,Local,332.27,33.227,33227.0,33227.0,Kilogram,14,False,False
ARR0016125,31/01/2026,MANDI001,Rice,Pusa-1121,472.72,47.272,47272.0,47.272,Metric Tonne,125,False,False
ARR0004812,23/05/2026,MANDI001,Maize,PBW-343,483.83,48.383,48383.0,483.83,Quintal,56,False,False
ARR0000578,03/02/2026,MANDI001,Cotton,Premium,75.27,7.527,7527.0,7527.0,Kilogram,,False,False
ARR0010878,11/03/2026,MANDI001,Mustard,PBW-343,262.58,26.258,26258.0,262.58,Quintal,53,False,False
ARR0011862,27/03/2026,MANDI001,Cotton,HD-2967,435.88,43.588,43588.0,435.88,Quintal,,False,False
ARR0021764,30/07/2026,MANDI001,Maize,PBW-343,213.06,21.306,21306.0,21.306,Metric Tonne,16,False,False
ARR0011020,03/05/2026,MANDI001,Maize,Premium,455.93,45.593,45593.0,45.593,Metric Tonne,64,False,False
ARR0016282,07/06/2026,MANDI001,Rice,Local,175.23,17.523,17523.0,17523.0,Kilogram,135,False,False
ARR0003517,20/01/2026,MANDI001,Maize,,492.63,49.263,49263.0,49263.0,Kilogram,81,False,False
ARR0024408,04/09/2026,MANDI001,Cotton,HD-2967,346.58,34.658,34658.0,34658.0,Kilogram,71,False,False
ARR0011734,17/06/2026,MANDI001,Wheat,Local,102.91,10.291,10291.0,102.91,Quintal,8,False,False
ARR0008109,03/01/2026,MANDI001,Sugarcane,Pusa-1121,113.12,11.312,11312.0,113.12,Quintal,116,False,False
ARR0015738,19/01/2026,MANDI001,Cotton,,245.26,24.526,24526.0,245.26,Quintal,13,False,False
ARR0016277,23/06/2026,MANDI001,Mustard,HD-2967,15.16,1.516,1516.0,1.516,Metric Tonne,95,False,False
ARR0010657,17/07/2026,MANDI001,Rice,Pusa-1121,458.64,45.864,45864.0,458.64,Quintal,,False,False
ARR0010407,19/04/2026,MANDI001,Mustard,,363.83,36.383,36383.0,36383.0,Kilogram,82,False,False
ARR0005194,28/04/2026,MANDI001,Mustard,Pusa-1121,239.52,23.952,23952.0,23.952,Metric Tonne,99,False,False
ARR0011543,10/04/2026,MANDI001,Basmati Rice,Local,129.48,12.948,12948.0,129.48,Quintal,41,False,False
ARR0014704,11/06/2026,MANDI001,Wheat,Pusa-1121,47.11,4.711,4711.0,47.11,Quintal,107,False,False
ARR0006082,27/08/2026,MANDI001,Wheat,HD-2967,95.47,9.547,9547.0,9547.0,Kilogram,20,False,False
ARR0011184,13/06/2026,MANDI001,Wheat,,437.07,43.707,43707.0,437.07,Quintal,34,False,False
ARR0002428,20/03/2026,MANDI001,Sugarcane,PBW-343,484.12,48.412,48412.0,48412.0,Kilogram,7,False,False
ARR0013664,27/02/2026,MANDI001,Paddy,,380.47,38.047,38047.0,38047.0,Kilogram,50,False,False
ARR0017140,08/05/2026,MANDI001,Sugarcane,HD-2967,136.28,13.628,13628.0,136.28,Quintal,,False,False
ARR0000851,28/07/2026,MANDI001,Mustard,Pusa-1121,435.33,43.533,43533.0,435.33,Quintal,102,False,False
ARR0018375,20/07/2026,MANDI001,Mustard,PBW-343,138.58,13.858,13858.0,13.858,Metric Tonne,68,False,False
ARR0022199,24/05/2026,MANDI001,Rice,Premium,364.4,36.44,36440.0,36.44,Metric Tonne,72,False,False
ARR0004473,22/06/2026,MANDI001,Paddy,HD-2967,247.72,24.772,24772.0,247.72,Quintal,49,False,False
ARR0021643,31/08/2026,MANDI001,Paddy,PBW-343,122.63,12.263,12263.0,12263.0,Kilogram,70,False,False
ARR0008972,26/03/2026,MANDI001,Rice,Pusa-1121,226.79,22.679,22679.0,226.79,Quintal,23,False,False
ARR0012411,09/09/2026,MANDI001,Mustard,HD-2967,62.64,6.264,6264.0,6.264,Metric Tonne,114,False,False
ARR0001974,03/04/2026,MANDI001,Wheat,HD-2967,130.1,13.01,13010.0,13010.0,Kilogram,72,False,False
ARR0022262,18/05/2026,MANDI001,Rice,PBW-343,156.76,15.676,15676.0,156.76,Quintal,101,False,False
ARR0018720,24/03/2026,MANDI001,Mustard,Premium,269.68,26.968,26968.0,269.68,Quintal,47,False,False
ARR0011519,10/07/2026,MANDI001,Cotton,Pusa-1121,281.17,28.117,28117.0,281.17,Quintal,112,False,False
ARR0023753,16/06/2026,MANDI001,Cotton,Premium,293.77,29.377,29377.0,29.377,Metric Tonne,,False,False
ARR0017458,30/03/2026,MANDI001,Sugarcane,PBW-343,427.25,42.725,42725.0,427.25,Quintal,,False,False
ARR0000100,27/08/2026,MANDI001,Wheat,,19.31,1.931,1931.0,19.31,Quintal,82,False,False
ARR0019334,19/04/2026,MANDI001,Sugarcane,Local,227.31,22.731,22731.0,22.731,Metric Tonne,,False,False
ARR0020484,16/05/2026,MANDI001,Mustard,PBW-343,414.9,41.49,41490.0,414.9,Quintal,145,False,False
ARR0017012,28/07/2026,MANDI001,Rice,,149.02,14.902,14902.0,14.902,Metric Tonne,94,False,False
ARR0019560,17/06/2026,MANDI001,Cotton,PBW-343,60.26,6.026,6026.0,6.026,Metric Tonne,150,False,False
ARR0010949,03/09/2026,MANDI001,Sugarcane,Hybrid,426.28,42.628,42628.0,42628.0,Kilogram,,False,False
ARR0021536,12/05/2026,MANDI001,Mustard,PBW-343,399.09,39.909,39909.0,39909.0,Kilogram,17,False,False
ARR0023907,06/07/2026,MANDI001,Sugarcane,,491.44,49.144,49144.0,491.44,Quintal,6,False,True
ARR0007739,08/05/2026,MANDI001,Cotton,HD-2967,309.61,30.961,30961.0,30.961,Metric Tonne,74,False,False
ARR0018814,20/04/2026,MANDI001,Maize,,106.6,10.66,10660.0,10660.0,Kilogram,102,False,False
ARR0021724,21/02/2026,MANDI001,Sugarcane,Hybrid,49.39,4.939,4939.0,4939.0,Kilogram,47,False,False
ARR0007342,16/04/2026,MANDI001,Maize,HD-2967,450.46,45.046,45046.0,45.046,Metric Tonne,140,False,False
ARR0024770,12/01/2026,MANDI001,Mustard,PBW-343,428.42,42.842,42842.0,428.42,Quintal,29,False,True
ARR0001449,31/07/2026,MANDI001,Sugarcane,Premium,57.74,5.774,5774.0,5.774,Metric Tonne,123,False,False
ARR0019719,25/04/2026,MANDI001,Wheat,HD-2967,146.06,14.606,14606.0,14.606,Metric Tonne,74,False,False
ARR0012936,21/06/2026,MANDI001,Maize,HD-2967,491.9,49.19,49190.0,49190.0,Kilogram,53,False,False
ARR0005500,09/02/2026,MANDI001,Sugarcane,Local,191.79,19.179,19179.0,19.179,Metric Tonne,102,False,False
ARR0023988,03/03/2026,MANDI001,Wheat,Local,490.08,49.008,49008.0,49008.0,Kilogram,88,False,False
ARR0021773,24/06/2026,MANDI001,Mustard,Premium,112.23,11.223,11223.0,112.23,Quintal,55,False,False
ARR0009786,02/04/2026,MANDI001,Wheat,Hybrid,164.63,16.463,16463.0,164.63,Quintal,125,False,False
ARR0000794,21/05/2026,MANDI001,Paddy,Premium,497.01,49.701,49701.0,497.01,Quintal,40,False,False
ARR0019927,16/05/2026,MANDI001,Maize,Hybrid,45.96,4.596,4596.0,4596.0,Kilogram,50,False,False
ARR0013118,16/06/2026,MANDI001,Mustard,Pusa-1121,110.37,11.037,11037.0,11037.0,Kilogram,52,False,False
ARR0007379,24/06/2026,MANDI001,Maize,,269.05,26.905,26905.0,26.905,Metric Tonne,31,False,False
ARR0002166,12/06/2026,MANDI001,Wheat,HD-2967,256.92,25.692,25692.0,256.92,Quintal,121,False,False
ARR0006347,04/09/2026,MANDI001,Maize,PBW-343,100.49,10.049,10049.0,100.49,Quintal,56,False,False
ARR0009319,17/05/2026,MANDI001,Wheat,Hybrid,239.82,23.982,23982.0,23.982,Metric Tonne,94,False,False
ARR0002584,08/06/2026,MANDI001,Sugarcane,Hybrid,214.31,21.431,21431.0,21.431,Metric Tonne,70,False,False
ARR0019461,12/08/2026,MANDI001,Cotton,Hybrid,421.02,42.102,42102.0,421.02,Quintal,115,False,False
ARR0008273,25/08/2026,MANDI001,Cotton,,97.17,9.717,9717.0,9717.0,Kilogram,90,False,False
ARR0012555,14/03/2026,MANDI001,Mustard,Hybrid,358.33,35.833,35833.0,35.833,Metric Tonne,99,False,False
ARR0011272,03/02/2026,MANDI001,Rice,Hybrid,493.01,49.301,49301.0,49301.0,Kilogram,,False,False
ARR0007075,11/06/2026,MANDI001,Rice,,115.26,11.526,11526.0,115.26,Quintal,8,False,False
ARR0001347,01/04/2026,MANDI001,Rice,,112.26,11.226,11226.0,112.26,Quintal,8,False,False
ARR0017168,24/04/2026,MANDI001,Wheat,,252.35,25.235,25235.0,25.235,Metric Tonne,99,False,False
ARR0017830,22/01/2026,MANDI001,Wheat,,280.16,28.016,28016.0,280.16,Quintal,131,False,False
ARR0002093,13/01/2026,MANDI001,Maize,Pusa-1121,55.21,5.521,5521.0,5.521,Metric Tonne,,False,False
ARR0024104,29/06/2026,MANDI001,Wheat,,181.85,18.185,18185.0,18.185,Metric Tonne,135,False,False
ARR0004787,22/08/2026,MANDI001,Rice,HD-2967,176.86,17.686,17686.0,176.86,Quintal,109,False,False
ARR0023374,20/01/2026,MANDI001,Wheat,PBW-343,175.69,17.569,17569.0,17569.0,Kilogram,36,False,False
ARR0010952,03/08/2026,MANDI001,Sugarcane,Premium,143.53,14.353,14353.0,143.53,Quintal,48,False,False
ARR0012176,09/09/2026,MANDI001,Wheat,Local,365.58,36.558,36558.0,36558.0,Kilogram,126,False,False
ARR0010720,21/03/2026,MANDI001,Maize,Hybrid,169.26,16.926,16926.0,16.926,Metric Tonne,78,False,False
ARR0016720,05/11/2026,MANDI001,Sugarcane,HD-2967,124.1,12.41,12410.0,12410.0,Kilogram,132,False,False
ARR0012668,13/07/2026,MANDI001,Mustard,Premium,290.28,29.028,29028.0,29027.999999999996,Kilogram,104,False,False
ARR0013859,21/01/2026,MANDI001,Maize,Pusa-1121,306.93,30.693,30693.0,30693.0,Kilogram,,False,False
ARR0018265,03/04/2026,MANDI001,Cotton,HD-2967,223.81,22.381,22381.0,22381.0,Kilogram,35,False,False
ARR_IMP00251,31/05/2026,MANDI001,Rice,Premium,53.89,5.389,5389.0,5.389,Metric Tonne,17,True,False
ARR0020179,22/03/2026,MANDI001,Maize,Premium,194.61,19.461,19461.0,194.61,Quintal,32,False,False
ARR0011276,15/08/2026,MANDI001,Maize,Pusa-1121,373.56,37.356,37356.0,373.56,Quintal,58,False,False
ARR0008453,20/08/2026,MANDI001,Sugarcane,Premium,107.35,10.735,10735.0,107.35,Quintal,9,False,False
ARR0012998,25/06/2026,MANDI001,Sugarcane,PBW-343,20.37,2.037,2037.0,20.37,Quintal,64,False,False
ARR0010757,23/06/2026,MANDI001,Maize,Local,280.8,28.08,28080.0,28080.0,Kilogram,,False,False
ARR0003508,29/07/2026,MANDI001,Paddy,Hybrid,227.69,22.769,22769.0,227.69,Quintal,119,False,False
ARR0020829,08/01/2026,MANDI001,Rice,Local,63.49,6.349,6349.0,6349.0,Kilogram,16,False,False
ARR0023981,18/08/2026,MANDI001,Cotton,Pusa-1121,124.21,12.421,12421.0,12421.0,Kilogram,142,False,False
ARR0012087,13/06/2026,MANDI001,Cotton,,338.76,33.876,33876.0,338.76,Quintal,5,False,True
ARR0024877,01/01/2026,MANDI001,Maize,Hybrid,137.83,13.783,13783.0,13.783,Metric Tonne,,False,False
ARR0020485,03/06/2026,MANDI001,Mustard,HD-2967,364.42,36.442,36442.0,36442.0,Kilogram,,False,False
ARR0002107,18/07/2026,MANDI001,Wheat,HD-2967,144.21,14.421,14421.0,14421.0,Kilogram,88,False,False
ARR0022335,29/03/2026,MANDI001,Sugarcane,HD-2967,268.19,26.819,26819.0,268.19,Quintal,,False,False
ARR0018042,14/07/2026,MANDI001,Sugarcane,Pusa-1121,397.77,39.777,39777.0,39.777,Metric Tonne,,False,False
ARR0016807,28/03/2026,MANDI001,Sugarcane,,101.94,10.194,10194.0,10.194,Metric Tonne,32,False,False
ARR0018276,24/07/2026,MANDI001,Wheat,HD-2967,447.98,44.798,44798.0,44.798,Metric Tonne,21,False,False
