Mandi_ID,Mandi_Name,Price_Risk_Score,Supply_Pressure_Score,Transport_Risk_Score,Priority_Score,Priority_Rank,Priority_Level,Recommendation_Reason,Recommended_Action
MANDI038,Jalandhar Mandi,90.5625717566016,82.01748808549404,65.32258064516128,82.95104843298127,14,High,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI056,Bilaspur Mandi,84.25400103252451,87.94035877107366,71.94670614359734,82.89844937630383,15,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI019,Karimnagar Grain Market,95.59681697612731,69.92591084704216,68.5590421139554,82.48799016496739,16,High,High price risk,Monitor price and MSP risk
MANDI017,Parbhani Market,84.29441062534588,80.21724901786989,80.62060889929742,82.33650179789339,17,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI055,Chandigarh APMC,90.5625717566016,69.82213056659805,77.3671096345515,81.70134697519052,18,High,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI051,Gulbarga Market,80.23134759976864,71.89217747226881,100.0,81.68332704156497,19,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI003,Vijayawada Mandi,88.71384615384615,76.75115842536506,71.49014778325123,81.68030016118284,20,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI018,Jaunpur Mandi,88.76456876456875,80.01267530969436,66.29464285714286,81.64501554662125,21,High,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI005,Bhilwara Grain Market,83.99775407074677,82.66277263917692,73.57555739058628,81.51282030524371,22,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI032,Chapra Grain Market,75.51185656448813,94.90438338438948,74.65437788018433,81.15811887359777,23,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI006,Kochi Mandi,87.31677771047849,69.5556694182631,81.68067226890757,80.86122413449968,24,High,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI002,Solapur Mandi,81.51848151848152,76.99654615874924,84.58646616541354,80.77549783994823,25,High,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI045,Farrukhabad Mandi,86.63461538461537,70.61197686014796,78.47644376899696,80.19618950415146,26,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI034,Ludhiana Grain Market,80.34461538461538,77.25248517221951,83.41367221735321,80.03078768744419,27,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI007,Nashik Mandi,81.68598524762908,72.96838250227479,82.6530612244898,79.26411961939495,28,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI008,Bijapur Market,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904,29,Medium,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI048,Chittoor Mandi,77.85330948121646,80.58142215549816,77.25243506493507,78.55156840024469,30,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI054,Nangloi Jat Grain Market,76.2197802197802,77.65398436673976,85.71428571428571,78.54894256276917,31,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI012,Gaya Grain Market,77.61786600496276,72.95716909036163,89.140365448505,78.52415681929088,32,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI021,Guna Mandi,78.86390532544378,88.06151053660564,62.10653753026635,78.27171332975685,33,Medium,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI010,Dhule APMC,75.21367521367522,81.62453975241417,80.77458256029685,78.24911604462123,34,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI039,Anand Grain Market,79.01022054868207,79.24579357616419,74.65437788018433,78.20972392322716,35,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI029,Asansol Grain Market,83.6923076923077,62.62819836467774,87.45847176079734,78.12630770771663,36,Medium,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI042,Erode Mandi,87.9375696767001,71.72639651903968,62.36099230111207,77.95890225428437,37,Medium,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI028,Machilipatnam APMC,90.5625717566016,73.39567509340661,51.78571428571429,77.65713126346564,38,Medium,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI052,Kakinada APMC,81.36752136752136,74.64605814080998,72.73469387755104,77.62451690151389,39,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI026,Tadipatri Mandi,83.4095634095634,77.41321977318262,62.73666092943202,77.47607982262289,40,Medium,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI024,Jaipur Mandi,76.5097588978186,78.16563192538968,78.00963081861958,77.30649519025012,41,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI037,Jorhat Grain Market,74.24317617866004,70.34784885358606,93.4151785714286,76.90897845969155,42,Medium,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI001,Hyderabad Mandi,76.54784240150093,81.7397710742715,69.3609022556391,76.66803297415973,43,Low,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI031,Nangloi Jat Mandi,75.2628666297731,78.53667262463813,76.89873417721519,76.57218193772103,44,Low,High price risk + High supply pressure + High transport risk,Monitor price and MSP risk + Prioritize supply movement + Prioritize transport
MANDI040,Jodhpur Market,79.85907222548444,75.65086038382984,65.97744360902256,75.82028294969568,45,Low,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI049,Machilipatnam Mandi,83.6923076923077,65.53228421744815,71.13583138173303,75.73300538773489,46,Low,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI043,Danapur Mandi,86.52400231347598,60.10451362824802,69.88362760834673,75.27008076688175,47,Low,High price risk,Monitor price and MSP risk
MANDI030,Patiala APMC,80.4733727810651,74.60102828562987,61.85983827493262,74.98896253120803,48,Low,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI036,Mysore Grain Market,75.37505972288581,80.01283589980646,65.59385382059801,74.81015139550445,49,Low,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI020,Kadapa Mandi,80.15984015984016,68.38466338726647,66.22203098106714,73.83972529231345,50,Low,High price risk,Monitor price and MSP risk
MANDI015,Amravati Grain Market,74.29208472686733,68.7356914985172,77.02874049027896,73.17249791104462,51,Low,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI009,Jamshedpur APMC,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829,52,Low,High price risk + High supply pressure,Monitor price and MSP risk + Prioritize supply movement
MANDI013,Aurangabad Market,77.49287749287748,65.59098694520264,71.84873949579833,72.7934827291592,53,Low,High price risk + High transport risk,Monitor price and MSP risk + Prioritize transport
MANDI016,Kulti APMC,69.74358974358972,72.36648473050971,77.24382946896037,72.03050618473985,54,Low,High supply pressure + High transport risk,Prioritize supply movement + Prioritize transport
MANDI023,Panihati APMC,61.99430199430198,76.59051246057696,85.9591836734694,71.16614147001795,55,Low,High supply pressure + High transport risk,Prioritize supply movement + Prioritize transport
MANDI057,Gorakhpur APMC,63.678929765886295,64.32344133301102,73.11616954474097,65.75973119179464,56,Low,High transport risk,Prioritize transport
MANDI053,Panihati Market,65.80645161290323,57.95040414489517,63.891323400525856,63.066611730025336,57,Low,Moderate combined risk,Continue routine monitoring
