record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp
PR011617,2026-03-18,MANDI053,Bathinda,Maize,2009.38,2235.4,2122.39,
PR001291,2026-08-03,MANDI046,Jalandhar,Rice,1867.54,2189.09,2028.32,2183.0
PR001377,2026-06-14,MANDI007,Amritsar,Rice,1970.8,2447.0,2209.0,
PR003954,2026-03-31,MANDI017,Kurukshetra,Rice,1971.7,2237.0,2104.0,2183.0
PR003093,2026-05-20,MANDI008,Ludhiana,चावल,1975.0,2358.74,2166.76,2183.0
PR000689,2026-04-02,MANDI054,Saharanpur,Wheat,2293.99,2786.0,2540.0,
PR002359,2026-04-09,MANDI026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0
PR004233,2026-01-29,MANDI049,Muzaffarnagar,Rice,2082.58,,2270.31,2183.0
PR009368,2026-05-04,MANDI014,Karnal,Narma,6403.67,6871.07,6637.37,6620.0
PR005203,2026-03-29,MANDI024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0
PR006235,2026-05-20,MANDI006,Hisar,Cotton,,7062.16,6842.78,
PR011846,2026-09-05,MANDI031,Ambala,Wheat,2076.39,2414.63,2245.51,
PR001340,2026-01-16,MANDI007,Jalandhar,Rice,1857.0,2122.46,1989.82,2183.0
PR008186,2026-01-25,,Moga,Rice,2005.68,2112.51,2059.1,
PR007070,2026-05-09,MANDI022,Karnal,Rice,2038.27,2509.7,2273.98,2183.0
PR004775,2026-02-23,,Jalandhar,Wheat,2097.0,2609.0,2353.0,2275.0
PR006448,2026-02-20,MANDI035,Ludhiana,Maize,1881.78,2319.1,2100.44,
PR003034,2026-01-29,MANDI055,Amritsar,Wheat,2375.39,2905.0,2640.12,2275.0
PR002947,2026-05-13,,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0
PR002729,2026-03-02,MANDI008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0
PR007737,2026-02-20,MANDI012,Amritsar,Wheat,1964.0,2203.07,2083.63,2275.0
PR005676,2026-07-01,MANDI007,Fatehabad,Maize,1976.82,2419.0,2197.94,2090.0
PR007093,2026-01-31,MANDI051,Saharanpur,Rice,2285.36,2595.15,,2183.0
PR008805,2026-03-11,MANDI046,Ludhiana,Mustard,4820.0,5699.0,5259.53,5650.0
PR005981,2026-07-23,MANDI013,Kurukshetra,Wheat,2341.23,2517.0,2429.19,2275.0
PR000060,2026-05-14,,Ferozepur,Mustard,5811.32,6329.19,6070.26,5650.0
PR001371,2026-06-04,MANDI030,Ferozepur,Cotton,5660.0,6087.83,5874.0,6620.0
PR003239,2026-01-03,,Karnal,चावल,1872.0,2174.23,2023.3,2183.0
PR002056,2026-08-22,MANDI009,Ferozepur,Rice,1908.14,2009.0,1958.0,
PR005252,2026-01-05,MANDI032,Jalandhar,Wheat,2151.86,2675.13,2413.49,
PR009259,2026-06-01,MANDI055,Bareilly,Ganne,3152.0,3337.0,3244.6,3500.0
PR002760,2026-02-15,MANDI036,Karnal,Narma,6302.29,7206.81,6754.55,6620.0
PR004003,2026-08-25,MANDI029,Kurukshetra,Sugarcane,3083.37,3315.0,3199.0,3500.0
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,6311.65,6815.97,6563.81,
PR004575,2026-08-28,MANDI040,Ferozepur,चावल,2184.65,2619.32,2401.98,2183.0
PR001751,2026-07-19,MANDI047,Ludhiana,Mustard,5637.61,,6334.03,
PR001077,2026-07-22,,Kurukshetra,Mustard,5178.31,,5757.03,5650.0
PR005404,2026-01-22,MANDI034,Sirsa,Maize,1786.34,1926.15,1856.24,2090.0
PR006339,2026-04-25,MANDI051,Karnal,Narma,6696.62,7530.0,7113.15,6620.0
PR009691,2026-05-11,MANDI010,Fatehabad,Sugarcane,3201.15,3361.39,3281.27,3500.0
PR010145,2026-02-02,MANDI013,Kurukshetra,Wheat,2069.22,2309.0,2188.97,2275.0
PR001300,2026-08-02,MANDI046,Patiala,Maize,1918.0,2158.02,2038.25,2090.0
PR007631,2026-03-02,MANDI055,Bathinda,Wheat,2386.55,2953.19,2669.87,2275.0
PR000891,2026-07-17,MANDI050,Amritsar,Sugarcane,3360.97,3721.24,3541.11,3500.0
PR000564,2026-01-05,MANDI039,Hisar,Sugarcane,3448.28,4181.0,3814.67,3500.0
PR000602,2026-05-29,MANDI009,Ambala,Rice,1924.0,2048.1,1986.0,2183.0
PR010104,2026-06-29,MANDI040,Karnal,Wheat,2287.5,2466.13,2376.82,2275.0
PR000234,2026-06-03,MANDI046,Sirsa,Ganne,3421.0,3726.0,3573.51,3500.0
PR005480,2026-07-20,MANDI050,Moga,Mustard,5592.07,6362.98,5977.53,5650.0
PR010827,2026-06-25,MANDI005,Fatehabad,Sugarcane,3119.64,3645.1,3382.37,3500.0
PR000661,2026-07-26,MANDI029,Fatehabad,Rice,,2666.93,2401.0,2183.0
PR002565,2026-05-07,MANDI043,Ludhiana,Makki,,2198.0,2022.0,2090.0
PR004659,2026-01-23,MANDI010,Sirsa,Maize,1944.04,2211.0,2077.0,2090.0
PR008402,2026-06-16,MANDI027,Fatehabad,Maize,1845.0,2143.52,1994.33,
PR007197,2026-05-04,MANDI033,Ambala,Sugarcane,3653.02,4059.89,3856.0,3500.0
PR000500,2026-02-04,MANDI035,Moga,चावल,2181.05,2399.84,2290.0,2183.0
PR002708,2026-08-17,MANDI053,Sirsa,Cotton,6858.04,7844.44,7351.24,6620.0
PR008975,2026-04-05,MANDI046,Karnal,Wheat,2350.0,2685.0,2517.0,2275.0
PR007085,2026-03-11,MANDI039,Ambala,Sarso,5727.0,6192.0,5959.0,5650.0
PR003234,2026-08-31,MANDI010,Hisar,Mustard,5344.0,6188.0,5766.0,5650.0
PR010364,2026-06-29,MANDI014,Fatehabad,Chawal,1936.0,2035.72,,2183.0
PR003552,2026-05-18,,Karnal,Maize,1791.21,1980.88,1886.04,
PR003156,2026-07-28,MANDI052,Bathinda,Makki,2067.21,2382.0,2224.78,2090.0
PR001607,2026-06-18,,Patiala,Mustard,5565.0,6412.73,5989.0,
PR002564,2026-04-06,MANDI010,Ambala,Maize,2121.78,2587.0,2354.0,2090.0
PR001680,2026-02-09,MANDI038,Bathinda,Rice,2063.33,2387.0,2225.08,2183.0
PR004686,2026-04-30,MANDI051,Saharanpur,Mustard,5523.1,6271.94,5898.0,
PR010671,2026-08-12,MANDI036,Sirsa,Sugarcane,3521.0,3829.9,3675.0,3500.0
PR003180,2026-02-03,MANDI057,Patiala,Rice,2102.2,2284.3,2193.25,2183.0
PR007921,2026-06-13,MANDI057,Patiala,Wheat,2274.0,2519.92,2397.03,2275.0
PR009782,2026-03-30,MANDI045,Meerut,Mustard,4983.72,6078.7,5531.21,5650.0
PR007375,2026-05-26,MANDI007,Sirsa,Cotton,6948.75,7354.0,7151.48,6620.0
PR003698,2026-02-28,MANDI003,Jalandhar,Maize,,2455.0,2321.22,2090.0
PR011382,2026-05-20,MANDI047,Karnal,Makki,1923.0,2057.96,1990.53,2090.0
PR000927,2026-08-16,MANDI042,Bathinda,Wheat,1971.5,2367.71,2170.0,2275.0
PR011519,2026-03-27,MANDI030,Jalandhar,Sarso,5653.22,6810.92,6232.0,5650.0
PR009637,2026-03-10,MANDI056,Hisar,Mustard,5115.5,,5462.0,5650.0
PR001637,2026-04-23,MANDI048,Ludhiana,चावल,2010.15,2209.05,2110.0,
PR004876,2026-08-12,,Fatehabad,Narma,6345.53,7199.0,6772.33,
PR001068,2026-02-27,MANDI043,Moga,Chawal,2093.86,2212.47,2153.17,2183.0
PR006220,2026-05-31,MANDI021,Bathinda,Maize,1888.0,2027.39,1957.6,2090.0
PR008164,2026-04-16,,Hisar,Rice,2145.54,2347.05,2246.3,2183.0
PR004486,2026-05-06,,Hisar,Maize,1887.5,2254.54,2071.0,2090.0
PR001657,2026-05-26,,Jalandhar,Sugarcane,3058.0,3448.79,3253.0,3500.0
PR000636,2026-07-30,MANDI001,Jalandhar,Mustard,5830.0,6522.04,6175.78,5650.0
PR008714,2026-01-19,MANDI044,Bathinda,Sugarcane,3275.42,3868.2,3572.0,3500.0
PR006554,2026-05-12,MANDI019,Ferozepur,Wheat,2043.0,2169.0,2106.18,
PR007451,2026-06-05,MANDI049,Hisar,Rice,2133.49,2430.74,2282.12,2183.0
PR004826,2026-02-27,MANDI008,Moga,Mustard,5305.67,5842.61,5574.14,5650.0
PR003124,2026-07-04,MANDI002,Patiala,Cotton,6280.49,7576.15,6928.32,6620.0
PR007308,2026-06-15,MANDI048,Jalandhar,Cotton,6414.53,7817.45,7115.99,
PR011358,2026-03-03,MANDI027,Hisar,Wheat,1957.21,2120.71,2038.96,2275.0
PR002849,2026-02-19,MANDI043,Jalandhar,Wheat,2108.38,2303.0,2205.49,
PR000278,2026-04-02,MANDI002,Ludhiana,Maize,2028.0,2420.0,2224.0,2090.0
PR010767,2026-01-26,MANDI049,Patiala,Cotton,6176.37,7109.09,6642.73,
PR009416,2026-06-05,,,Rice,1918.74,2304.0,2111.0,2183.0
PR006769,2026-08-02,,,Wheat,2047.45,2342.22,2195.0,2275.0
PR005062,2026-08-29,MANDI057,Ferozepur,Ganne,3332.0,3987.32,3659.66,
PR006581,2026-06-17,MANDI012,Kurukshetra,Mustard,5447.44,6539.0,,5650.0
PR003411,2026-07-25,MANDI050,Bathinda,Mustard,5673.4,,6244.0,
PR001183,2026-06-28,MANDI051,Saharanpur,Wheat,2311.34,2580.92,2446.13,2275.0
PR003889,2026-05-29,,Sirsa,Cotton,6089.0,6442.05,6265.64,
PR006057,2026-03-28,,Ludhiana,Rice,1970.36,2238.5,2104.0,2183.0
PR010183,2026-01-13,MANDI023,Kurukshetra,Maize,1863.0,2087.97,1975.71,2090.0
PR000371,2026-08-07,MANDI018,Fatehabad,Mustard,5054.0,5585.96,5320.06,5650.0
PR006590,2026-05-24,MANDI035,Patiala,Wheat,2350.41,2731.0,2540.73,2275.0
PR010318,2026-02-15,MANDI014,Amritsar,Sugarcane,3264.0,3445.49,3355.0,3500.0
PR000090,2026-06-26,MANDI040,Ambala,Maize,1881.87,,2003.89,2090.0
PR004915,2026-03-29,,Moga,Wheat,2155.0,,2340.1,2275.0
PR009953,2026-04-22,MANDI028,Ambala,Rice,1901.88,2078.12,1990.0,2183.0
PR010106,2026-01-02,MANDI042,Bathinda,Cotton,6136.0,6538.69,6337.33,
PR000014,2026-02-08,MANDI028,Hisar,Wheat,2100.07,2375.64,2238.0,2275.0
PR000287,2026-04-13,MANDI031,Sirsa,Wheat,2103.01,2276.59,2189.8,2275.0
PR004723,2026-04-12,MANDI020,Kurukshetra,Wheat,1960.0,2441.0,2200.7,2275.0
PR000290,2026-08-07,MANDI024,Bathinda,Sugarcane,3589.02,3950.83,3769.93,3500.0
PR000885,2026-04-26,MANDI016,Kurukshetra,Mustard,4928.44,5446.76,5188.0,5650.0
PR006785,2026-07-31,MANDI025,Karnal,Rice,2112.0,2555.56,2334.0,2183.0
PR011132,2026-03-30,MANDI020,Sirsa,Sugarcane,3250.83,3969.99,3610.0,3500.0
PR000072,2026-01-06,MANDI047,Amritsar,Wheat,2020.69,,2160.48,2275.0
PR008759,2026-04-10,MANDI042,Moga,Rice,1916.22,2381.0,2148.0,2183.0
PR002705,2026-06-11,,,Mustard,4886.19,5692.39,5289.29,
PR011585,2026-01-28,MANDI016,Jalandhar,Ganne,3395.0,3710.84,3552.76,
PR001860,2026-04-18,,Sirsa,Sugarcane,3233.75,3496.33,3365.0,
PR001126,2026-03-20,MANDI003,Amritsar,चावल,1889.99,2165.52,,2183.0
PR001877,2026-04-28,MANDI038,Ludhiana,Cotton,6070.34,6646.0,6357.95,
PR004804,2026-10-08,MANDI015,Fatehabad,Sugarcane,3036.0,3480.16,3257.9,3500.0
PR005224,2026-08-06,MANDI019,Ludhiana,Cotton,5856.97,6404.1,6130.53,6620.0
PR011327,2026-07-20,MANDI020,Hisar,Mustard,5578.0,6771.16,6175.0,5650.0
PR003657,2026-06-07,MANDI049,Moga,Mustard,5526.46,6776.9,6151.68,5650.0
PR004286,2026-02-13,MANDI020,Sirsa,Mustard,4839.19,5232.75,5036.0,5650.0
PR009464,2026-12-05,MANDI054,Sirsa,Mustard,,6269.21,5795.0,5650.0
PR009540,2026-08-17,MANDI036,Ferozepur,Rice,2140.35,2314.92,,2183.0
PR008741,2026-05-28,,Hisar,Sarso,5551.23,6183.12,5867.18,5650.0
PR006103,2026-11-06,MANDI032,Fatehabad,Mustard,4861.23,5327.6,5094.0,5650.0
PR004446,2026-04-01,MANDI012,Jalandhar,Wheat,2054.38,2163.73,2109.06,2275.0
PR008501,2026-06-21,MANDI047,Ambala,Maize,2055.01,2496.0,,2090.0
PR009136,2026-08-31,MANDI005,Hisar,Mustard,5172.65,5630.0,5401.09,5650.0
PR006128,2026-08-22,MANDI029,Bathinda,Sugarcane,3586.69,4146.78,3867.0,3500.0
PR003726,2026-03-16,MANDI047,Muzaffarnagar,Wheat,,2382.0,2300.9,2275.0
PR004026,2026-04-13,MANDI002,Amritsar,Maize,2131.44,2417.37,2274.41,2090.0
PR006940,2026-07-15,,Sirsa,Wheat,2027.0,2491.3,2259.35,2275.0
PR005645,2026-03-05,MANDI033,Bathinda,Ganne,3040.15,3610.64,3325.0,3500.0
PR000750,2026-03-08,MANDI040,Ambala,Wheat,2215.18,2565.59,2390.0,2275.0
PR010477,2026-03-08,MANDI013,Moga,Mustard,4997.0,,5469.33,
PR000039,2026-07-15,,,Maize,1962.57,2442.29,2202.43,2090.0
PR011063,2026-05-09,MANDI027,Hisar,Sugarcane,3640.7,3951.0,3796.0,3500.0
PR011564,2026-04-28,MANDI053,Patiala,Sugarcane,3045.97,3222.0,3133.91,
PR007008,2026-04-08,MANDI049,Fatehabad,Ganne,3369.49,4021.33,3695.41,3500.0
PR003175,2026-04-14,,,Wheat,2064.0,2298.05,2180.93,
PR006920,2026-04-27,MANDI054,Saharanpur,Chawal,2220.0,2582.38,2400.95,
PR004602,2026-01-03,MANDI002,Ludhiana,Mustard,5771.24,6931.52,6351.38,5650.0
PR002404,2026-05-27,MANDI035,Patiala,Wheat,2377.0,2583.0,2479.89,
PR003530,2026-03-13,MANDI050,Sirsa,Maize,1916.33,2164.0,2040.26,2090.0
PR000052,2026-06-14,MANDI039,Hisar,Chawal,1893.66,2329.0,2111.0,2183.0
PR004884,2026-05-11,MANDI029,Ambala,Sarso,4883.77,5935.74,5409.76,5650.0
PR004396,2026-03-20,MANDI039,Jalandhar,Wheat,2316.14,2639.0,2477.74,2275.0
PR005356,2026-03-25,MANDI029,Sirsa,Mustard,5367.63,6494.2,5931.0,5650.0
PR008385,2026-05-03,MANDI007,Fatehabad,Cotton,6143.0,6676.52,6409.96,
PR001049,2026-02-28,MANDI018,Moga,Sugarcane,3544.39,4305.27,3924.83,3500.0
PR001227,2026-05-28,MANDI049,Ludhiana,Chawal,2223.0,2360.0,2291.15,2183.0
PR002021,2026-02-15,MANDI053,Kurukshetra,Sugarcane,2975.02,3540.23,3257.62,3500.0
PR002840,2026-07-08,MANDI055,Jalandhar,Chawal,1909.34,2007.0,1958.1,
PR001582,2026-07-09,MANDI020,Ambala,Mustard,,6323.0,6051.36,5650.0
PR007108,2026-08-13,MANDI037,Kurukshetra,Sugarcane,3272.0,3501.56,3386.98,3500.0
PR002341,2026-01-12,MANDI053,Karnal,Wheat,2267.0,2644.35,2455.58,2275.0
PR005608,2026-02-06,,Bathinda,Ganne,3229.0,3715.85,3473.0,3500.0
PR001136,2026-04-18,MANDI038,Ferozepur,Rice,2102.32,2442.07,2272.2,2183.0
PR009689,2026-09-02,MANDI048,Karnal,Wheat,2164.0,2591.0,,2275.0
PR002408,2026-02-22,MANDI047,Ambala,Rice,2208.44,2509.35,2358.9,
PR004924,2026-03-13,MANDI054,Bathinda,Wheat,,2411.0,2322.27,2275.0
PR003193,2026-03-30,MANDI010,Jalandhar,Cotton,6317.87,6975.84,6646.85,6620.0
PR005567,2026-01-07,MANDI026,Ferozepur,Narma,5830.38,6868.0,6349.04,
PR002815,2026-08-19,MANDI030,Sirsa,Sarso,5403.91,6606.69,6005.3,
PR000950,2026-08-20,MANDI032,Patiala,Mustard,5880.31,6824.33,6352.32,5650.0
PR004751,2026-02-17,MANDI028,Ambala,Mustard,4874.0,5365.0,5119.29,5650.0
PR008389,2026-08-07,MANDI024,Amritsar,Sugarcane,3647.18,3970.64,3808.91,3500.0
PR008760,2026-07-05,MANDI001,Ludhiana,Rice,1878.64,2162.0,2020.53,
PR011074,2026-07-29,MANDI020,Fatehabad,Maize,2194.05,2537.0,2365.44,2090.0
PR005674,2026-04-15,MANDI008,Moga,Maize,1979.96,2214.64,2097.3,2090.0
PR005008,2026-01-31,MANDI018,Amritsar,Wheat,2010.88,2355.0,2183.0,
PR011356,2026-03-18,MANDI043,Hisar,Maize,1954.52,2366.0,2160.21,2090.0
PR002972,2026-01-09,MANDI022,Moga,Mustard,5071.97,,5639.0,5650.0
PR010128,2026-08-12,MANDI028,Jalandhar,Sugarcane,3371.0,4039.65,3705.46,
PR011087,2026-05-18,MANDI007,Hisar,Cotton,6778.52,,7571.13,6620.0
PR004868,2026-05-02,,Ludhiana,Sarso,5002.0,6193.71,5598.01,5650.0
PR008792,2026-08-02,MANDI054,Karnal,Wheat,2009.0,2222.62,2116.0,
PR007739,2026-01-31,MANDI014,Bathinda,Chawal,,2361.86,2127.97,2183.0
PR002430,2026-05-16,MANDI012,Amritsar,Cotton,6174.08,7548.55,6861.32,6620.0
PR004051,2026-01-31,MANDI028,Ambala,Sugarcane,2980.0,3691.46,3336.0,3500.0
PR003668,2026-04-06,MANDI046,Ferozepur,Wheat,2355.04,2804.03,2579.54,2275.0
PR004727,2026-08-21,MANDI055,Kurukshetra,Narma,6876.26,8157.95,7517.11,6620.0
PR005138,2026-07-12,MANDI029,Ludhiana,Maize,2096.0,2223.71,2159.61,
PR007759,2026-08-12,MANDI047,Ferozepur,Cotton,6556.98,7685.55,7121.0,6620.0
PR011285,2026-03-21,MANDI014,Amritsar,Rice,2080.71,2557.56,2319.13,
PR001781,2026-01-29,,,Sugarcane,3328.0,,3495.26,3500.0
PR004208,2026-03-01,MANDI055,Fatehabad,Sugarcane,3298.88,3885.0,3591.97,
PR009564,2026-02-06,,Sirsa,Chawal,1917.9,2096.52,2007.21,2183.0
PR006507,2026-07-03,MANDI026,Bathinda,Mustard,5898.0,7095.58,6497.0,5650.0
PR000400,2026-05-14,MANDI013,Ambala,Narma,6276.11,7009.0,6642.0,6620.0
PR007293,2026-04-07,MANDI020,Bathinda,Wheat,,2422.25,2352.52,2275.0
PR008867,2026-05-01,MANDI044,Moga,Wheat,2385.9,2639.48,,2275.0
PR001310,2026-04-19,MANDI010,Amritsar,Wheat,2150.5,2332.55,2241.53,2275.0
PR005490,2026-03-16,MANDI017,,Wheat,2142.0,2563.0,2353.0,
PR011563,2026-03-03,MANDI053,Bathinda,Wheat,2255.15,2482.51,2368.83,2275.0
PR010339,2026-04-25,MANDI041,Ambala,Mustard,4885.0,5930.06,5407.37,5650.0
PR008342,2026-05-08,MANDI008,Karnal,Sugarcane,3424.86,4060.64,3742.75,3500.0
PR009868,2026-03-23,MANDI014,Patiala,Wheat,1973.64,,,2275.0
PR006715,2026-05-15,MANDI005,Ambala,Maize,2009.38,2499.56,2254.47,2090.0
PR007779,2026-04-15,MANDI014,Karnal,Mustard,5290.63,5646.15,5468.39,5650.0
PR003626,2026-01-17,MANDI013,Kurukshetra,Cotton,6807.99,7556.0,7182.0,6620.0
PR006541,2026-03-24,MANDI022,Hisar,Chawal,1872.0,2118.32,1995.31,2183.0
PR005794,2026-01-18,MANDI032,Amritsar,Maize,2042.81,2420.66,2231.73,
PR000124,2026-08-01,MANDI013,Ferozepur,Mustard,5392.49,5765.0,5578.81,
PR004975,2026-07-03,MANDI025,Amritsar,Maize,1951.41,2198.62,2075.01,2090.0
PR011583,2026-08-14,MANDI012,Patiala,Narma,6753.83,7183.44,6968.63,
PR003101,2026-06-29,MANDI029,Ludhiana,Mustard,5644.0,6425.27,6034.44,5650.0
PR009221,2026-04-04,MANDI025,Ambala,Mustard,5844.54,7254.0,6549.27,5650.0
PR011436,2026-05-21,MANDI055,Bathinda,Rice,2243.12,2794.25,2518.69,2183.0
PR002379,2026-04-27,,Amritsar,Rice,2236.55,2357.04,2296.8,2183.0
PR003169,2026-02-03,MANDI020,Bathinda,Mustard,5046.04,5878.4,5462.0,5650.0
PR005876,2026-03-24,MANDI029,Amritsar,Cotton,6772.72,7394.03,7083.37,6620.0
PR002172,2026-06-14,MANDI034,Ludhiana,Wheat,2200.0,,2286.16,2275.0
PR004436,2026-06-27,MANDI038,Sirsa,Cotton,6913.62,8129.47,7521.54,6620.0
PR005800,2026-04-07,MANDI054,Saharanpur,Maize,2077.9,2249.0,2163.42,
PR003278,2026-06-28,MANDI020,Kurukshetra,Maize,2153.82,2472.0,2313.0,2090.0
PR004579,2026-03-26,MANDI017,Bathinda,Narma,6043.0,7328.17,6685.45,
PR000519,2026-03-05,MANDI026,Hisar,Cotton,6274.14,7098.49,6686.32,6620.0
PR011076,2026-03-27,MANDI047,Ferozepur,Makki,2144.13,2542.04,2343.08,2090.0
PR009663,2026-08-20,MANDI050,Jalandhar,Sugarcane,3164.73,3804.07,3484.4,3500.0
PR006528,2026-05-03,MANDI029,Ludhiana,Rice,2199.48,2667.28,2433.0,2183.0
PR009063,2026-03-10,MANDI054,Ambala,Cotton,6672.13,7630.62,7151.37,6620.0
PR004993,2026-07-15,MANDI038,Moga,Sugarcane,,3274.0,3145.88,3500.0
PR007941,2026-05-08,,,Wheat,2245.53,2430.17,2337.85,2275.0
PR011983,2026-12-04,,Ambala,Sarso,5837.43,6688.94,6263.19,5650.0
PR000143,2026-12-02,MANDI014,Ludhiana,Maize,2009.33,2482.84,2246.0,2090.0
PR011214,2026-08-26,MANDI052,Sirsa,Sugarcane,3644.0,3914.0,3779.0,
PR001742,2026-06-21,MANDI053,Amritsar,Cotton,6705.06,7944.0,7324.0,
PR006101,2026-07-26,MANDI051,Jalandhar,Mustard,5696.0,6413.66,6054.89,
PR008237,2026-07-09,MANDI005,Fatehabad,Sarso,,6530.3,6135.27,5650.0
PR008926,2026-06-25,MANDI023,Kurukshetra,Cotton,5771.04,7107.62,,
PR000823,2026-08-11,,Patiala,चावल,2143.0,2638.0,2390.7,2183.0
PR000774,2026-05-16,,Bathinda,Cotton,6100.21,,6472.97,6620.0
PR011082,2026-01-22,MANDI055,Ludhiana,Mustard,4936.41,5565.52,5251.0,5650.0
PR003074,2026-07-04,MANDI027,Patiala,Sugarcane,3017.33,,3162.98,3500.0
PR003082,2026-06-27,MANDI039,Fatehabad,Sugarcane,3537.43,3989.0,3763.21,3500.0
PR011634,2026-08-18,MANDI053,Jalandhar,Sugarcane,3348.66,3601.0,3475.0,
PR011144,2026-12-05,MANDI021,Ferozepur,Cotton,6223.0,6683.05,6452.84,6620.0
PR008557,2026-04-12,,Karnal,Mustard,5549.3,5850.15,5700.0,5650.0
PR011644,2026-06-17,MANDI046,,Maize,1809.0,2250.0,2029.44,
PR009727,2026-02-27,MANDI001,Karnal,Wheat,2047.49,2355.0,2201.0,
PR009303,2026-07-31,,Fatehabad,Makki,1777.96,2087.5,1932.73,2090.0
PR011744,2026-01-26,MANDI013,Patiala,Rice,1993.0,2446.88,2220.0,2183.0
PR000356,2026-05-08,MANDI054,Bathinda,Mustard,5876.64,6246.35,6061.0,5650.0
PR001201,2026-06-14,,Ambala,Maize,1995.2,2393.92,2195.0,2090.0
PR011185,2026-01-08,MANDI001,Sirsa,Wheat,2283.0,2601.82,2442.0,2275.0
PR005730,2026-01-09,MANDI035,Hisar,Sugarcane,3321.0,3749.35,3535.15,3500.0
PR001204,2026-01-19,MANDI014,Patiala,Mustard,5307.44,,5442.04,5650.0
PR002588,2026-02-26,MANDI035,Ferozepur,Rice,2030.3,,2145.6,2183.0
PR010160,2026-05-14,,Fatehabad,Rice,2084.1,2571.2,2327.65,2183.0
PR004180,2026-04-06,MANDI005,Amritsar,Sugarcane,3182.61,3629.0,3406.0,
PR001811,2026-07-15,MANDI026,Hisar,Chawal,2012.13,2351.1,2181.61,2183.0
