sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent
SEN002,2026-07-06 04:29:39 UTC,95.2,Fahrenheit,-40.2,mm,73
SEN007,2026-08-19 21:08:23 UTC,23.1,C,1.84,in,62
SEN005,,91.4,f,1.58,inch,80
SEN029,2026-05-13 03:32:20 UTC,82.4,f,0.67,inch,94
SEN022,2026-06-07 21:06:11 UTC,70.5,�F,0.57,inch,60
SEN015,2026-02-21 12:03:50,78.4,f,14.9,mm,87
SEN012,2026-03-15 07:21:07 UTC,59.9,f,1.28,in,94
SEN029,2026-01-31 20:48:03 IST,71.4,F,NA,,69
SEN043,2026-08-23 15:21:41 IST,33.6,C,27.4,millimeters,76
SEN023,2026-04-13 16:20:56 UTC,18.4,�C,1.7,inch,50
SEN038,,23.7,c,45.5,mm,92
SEN010,,72.5,�F,11.4,MM,80
UNKNOWN,2026-04-05 13:30:02 UTC,30.9,Celsius,1.01,in,
SEN003,01/06/2026 20:19,79.9,f,29.4,millimeters,47
SEN046,2026-05-19 06:18:45 UTC,29.3,C,-15,mm,36
SEN016,,26.7,c,5.2,millimeters,89
SEN034,2026-04-13 08:56:28 IST,39.9,Celsius,1.08,inches,59
SEN002,,22.7,c,1.92,inches,57
SEN017,2026-05-30 14:33:23 UTC,19.6,c,-2.7,mm,77
UNKNOWN,2026-08-09 02:39:44 UTC,74.1,F,10.6,millimeters,52
UNKNOWN,2026-01-16T04:29:54,23.1,Celsius,0.99,inches,59
SEN043,12-Aug-2026 16:58:44,101.7,f,0.07,inches,44
SEN035,2026-06-25 06:49:35 IST,38.6,C,3.7,MM,32
SEN047,2026-08-18 07:10:40 IST,21.5,Celsius,19.2,millimeters,84
SEN004,,38.6�C,,4.3,millimeters,85
SEN041,2026-06-19 03:04:08 IST,35.6�C,,1.7,inches,37
SEN020,2026-05-14 19:32:31 UTC,31.2�C,,1.3,inches,94
SEN030,2026-05-22 10:10:01 UTC,19.8,c,-19.7,mm,72
SEN023,2026-01-13 11:34:32 UTC,35.8,C,28,MM,58
SEN009,2026-07-15 22:03:55 UTC,24.8,C,0.8,millimeters,81
SEN044,,63.1,f,16.4,MM,82
SEN041,07-30-2026 10:15 AM,84.9,�F,1.96,in,91
SEN027,2026-05-27 08:13:39 UTC,23.0�C,,17.8,MM,55
SEN040,05/01/2026 03:10,28,�C,0.72,in,72
UNKNOWN,,77,f,0.5,MM,82
SEN002,2026-02-23 20:07:57 IST,30.5,C,7.2,MM,59
SEN015,2026-05-08 23:46:42 UTC,88.3,F,0.61,in,80
SEN001,,22.4�C,,16.5,mm,94
SEN007,08/03/2026,21.9,Celsius,-2.4,mm,90
SEN023,2026-03-04 12:02:44 IST,89.6,�F,36.5,MM,49
SEN001,2026-02-07 17:29:24 IST,99.7,Fahrenheit,25.6,mm,75
SEN031,,24.1,Celsius,20.7,mm,90
SEN004,,86,f,NA,,63
SEN028,2026-06-11 12:01:26 IST,101.7,�F,1.54,inches,58
UNKNOWN,2026-03-25 12:03:29 IST,26.7�C,,0.6,MM,67
SEN010,2026-05-15 18:40:32 UTC,17.2,�C,-46.5,mm,53
UNKNOWN,2026-04-04 19:31:23 IST,100.2,F,18.6,mm,
SEN014,2026-02-08 01:10:37 IST,95.4,F,41.3,MM,39
SEN005,03-01-2026 07:48 AM,24.9,C,0.48,inches,68
SEN010,2026-08-06 02:21:52 IST,22.1�C,,26,millimeters,50
SEN036,2026-06-18 08:04:30 IST,65.7,Fahrenheit,3.7,MM,
SEN021,2026-02-05 00:04:04 IST,70.7,Fahrenheit,0.5,inch,93
SEN024,2026-03-18 13:40:34,21.4�C,,41.4,MM,69
SEN041,2026-01-11 08:58:24 UTC,30.5,�C,17.7,mm,92
SEN039,2026-06-18 08:28:41 UTC,18.7�C,,49.3,millimeters,94
SEN023,2026-05-06 04:21:38 IST,33.8,�C,-14.9,mm,68
SEN008,2026-03-14 02:04:35 UTC,16.8,c,NA,,74
SEN029,2026-02-04 22:55:57 IST,27.6�C,,0.8,in,
SEN041,2026-07-11 16:46:05 UTC,16,c,-10.9,mm,86
UNKNOWN,2026-01-10 16:49:33 IST,16.2,c,0.35,inch,39
SEN007,2026-02-03 21:27:50 UTC,34.4,C,24.5,mm,65
SEN033,2026-06-22 14:25:54 UTC,18.2�C,,0.78,inches,78
SEN039,2026-04-23 12:37:38 UTC,76.6,�F,-9.8,mm,87
SEN038,2026-08-22 20:12:32 IST,103.1,Fahrenheit,0.75,in,56
SEN048,02-25-2026 09:02 PM,82.6,f,NA,,80
SEN020,2026-05-03 21:30:19 UTC,23,c,1.13,inch,38
SEN011,02-26-2026 01:19 PM,39.5,Celsius,13.3,MM,
SEN024,2026-03-31 11:39:52 IST,85.8,Fahrenheit,0.73,inches,71
SEN014,2026-06-06 01:09:20 IST,89.8,F,32.7,mm,49
SEN009,2026-01-01 22:02:22 UTC,25.3,�C,0.5,inches,85
SEN008,2026-01-06 15:43:18,99.3,f,1.65,in,44
SEN035,2026-03-22 23:24:11 IST,93.4,F,36.6,mm,54
SEN034,2026-07-06 04:54:07 IST,26.8,�C,25,millimeters,41
SEN035,2026-08-02 12:17:16 UTC,22.2,�C,28.1,millimeters,84
SEN030,13/01/2026 16:26,36.5,c,0.27,in,35
SEN035,,79.5,Fahrenheit,1,millimeters,62
SEN044,2026-05-18 16:25:14 IST,102.2,�F,-43.4,mm,78
SEN035,2026-06-28 21:51:03,24.5�C,,41.2,millimeters,84
SEN008,2026-01-12T21:09:05,29.5,Celsius,18.9,mm,80
SEN007,2026-04-20 07:10:02 IST,16.9,c,26.9,mm,76
SEN040,2026-02-19 22:18:36 IST,29.7,Celsius,0.64,inches,81
SEN047,2026-06-18 15:10:28 IST,78.1,F,-6.4,mm,92
SEN024,2026-04-23 12:43:57 IST,60.4,�F,37.1,MM,90
SEN004,01/06/2026,32.2,c,-34.2,mm,69
SEN016,,62.2,Fahrenheit,-5,mm,94
SEN003,2026-03-07 09:57:50 IST,82.2,F,NA,,66
SEN032,2026-05-27 03:40:33 IST,38.8�C,,24.1,mm,89
SEN025,2026-02-06 13:59:20 UTC,95,f,1.72,in,73
SEN011,2026-01-02 20:50:38 UTC,36.5,c,20.3,millimeters,
SEN036,2026-03-21 15:41:00 IST,35.8�C,,45.4,millimeters,76
SEN041,2026-06-29 20:07:53 IST,68.9,Fahrenheit,-19.1,mm,31
SEN010,2026-04-20 03:32:35 IST,23.2,C,25.1,MM,93
SEN019,2026-05-02 01:30:32 UTC,61.3,Fahrenheit,25,mm,94
SEN030,2026-01-01 23:41:26 IST,30.4,�C,23.8,mm,40
SEN033,2026-04-04 07:25:07 IST,69.8,f,6.2,millimeters,66
SEN013,2026-03-12 15:44:57 IST,20,Celsius,24.1,millimeters,49
SEN033,,74.8,F,-38.8,mm,33
UNKNOWN,2026-01-27 01:48:03 IST,71.6,�F,18.3,MM,50
SEN025,2026-04-06 09:32:26 IST,70.9,�F,-46.7,mm,62
SEN009,2026-08-13 13:12:36 UTC,20.7,c,47.7,MM,31
SEN032,2026-07-31 17:42:53 IST,73.8,f,36.4,mm,45
SEN015,2026-04-23 03:20:55 UTC,31.5,C,3.5,MM,43
SEN029,2026-01-27 07:59:34 IST,68.9,�F,NA,,76
SEN022,2026-03-24 23:08:20 UTC,37.3,�C,46.2,millimeters,89
SEN020,2026-03-27 22:06:40 UTC,19.9,�C,35.1,mm,
SEN041,2026-01-07 12:17:15 IST,84,F,1.44,inches,87
SEN023,,96.6,�F,0.04,inches,91
SEN040,2026-02-11 09:38:31 IST,33.7,Celsius,49.7,MM,32
SEN001,2026-02-08 12:10:33 IST,82.4,F,0.6,inch,79
SEN034,2026-03-30 07:13:47 UTC,39.3�C,,-0.9,mm,69
SEN018,2026-03-25 23:05:38 UTC,100.4,�F,34.7,millimeters,89
SEN019,2026-03-30 21:42:04 IST,63.5,f,1.3,inches,74
SEN036,2026-04-29 02:54:48 UTC,60.8,�F,-28.3,mm,59
SEN014,2026-05-07 11:37:21,28.9,C,1.89,in,46
SEN048,,84.4,Fahrenheit,4.6,MM,77
SEN044,03-20-2026 02:55 PM,91.2,�F,0.41,inches,43
SEN010,2026-08-03 01:38:56 UTC,23.3,C,-31.7,mm,51
SEN006,2026-05-16 15:18:23 IST,36,c,-9.3,mm,33
SEN021,2026-05-09 01:29:59 UTC,81.3,f,37.6,millimeters,82
SEN017,19/06/2026 01:30,95.2,f,35.2,mm,88
SEN038,2026-05-08 00:40:15,102.2,Fahrenheit,47.4,millimeters,54
SEN047,2026-08-27 01:35:37 IST,71.1,F,0.13,inches,41
SEN044,2026-01-08 22:17:13 IST,73.6,�F,41.8,millimeters,
SEN005,2026-04-19 10:15:34 IST,19.0�C,,20.8,millimeters,85
SEN031,2026-01-09 12:01:15 IST,94.1,�F,49.9,mm,59
SEN015,2026-06-27 04:15:25,103.5,Fahrenheit,22.6,mm,61
SEN025,2026-07-28 02:49:55 UTC,90.5,�F,1.7,millimeters,54
SEN039,2026-02-17T04:24:50,31.6,Celsius,NA,,85
SEN037,2026-02-27 14:50:11 IST,79.3,f,10.1,millimeters,65
SEN001,2026-01-29 18:53:46 IST,26.6,�C,40.9,MM,40
SEN013,2026-07-11 11:28:13,61.2,f,-39.9,mm,40
SEN010,2026-07-04 03:26:37 UTC,28.6�C,,4.4,MM,93
SEN017,2026-07-15 20:59:18 UTC,25.6,C,-7.8,mm,52
SEN027,2026-08-23 19:56:55 IST,85.5,F,6.5,millimeters,90
SEN020,2026-07-12 10:32:43 UTC,25.1,c,17.7,MM,93
SEN020,2026-08-24 15:11:25 UTC,61.7,�F,0.06,in,95
SEN030,23/07/2026 13:27,81.9,Fahrenheit,33.1,mm,89
SEN016,19/04/2026 05:08,32.9�C,,25.8,MM,95
SEN007,,70.7,F,1.84,inches,33
SEN009,,17.9,c,0.24,in,87
SEN003,2026-08-07 20:04:01 IST,98.4,f,24.6,mm,46
SEN024,31/08/2026 10:01,16.9,Celsius,-26.7,mm,32
SEN034,2026-07-23 23:32:42 IST,26.3,Celsius,0.61,inches,33
SEN012,2026-05-24 11:06:35 IST,29.7,C,8.6,MM,30
SEN028,2026-02-04 19:29:03 IST,39.1,�C,46.6,millimeters,45
SEN016,,29.1�C,,48.7,millimeters,90
SEN012,2026-04-20 06:42:09 IST,15.4,Celsius,-25.3,mm,31
SEN048,2026-09-06 20:16:00 UTC,35.5,Celsius,0.73,in,77
SEN041,06-27-2026 12:43 PM,35.2�C,,20.9,mm,35
SEN011,2026-07-15 08:26:21 UTC,39.3,C,42.9,millimeters,56
SEN012,2026-08-11 14:58:22 UTC,21.7,c,1.25,inch,83
SEN043,2026-07-27 08:53:39 UTC,35.8�C,,0.04,inches,85
SEN029,2026-08-13 11:34:00 UTC,79.5,F,14.2,MM,48
SEN036,2026-06-15 03:51:27 UTC,91.8,f,3.6,MM,30
SEN034,2026-08-11 07:55:58 IST,61.2,Fahrenheit,39.5,millimeters,95
SEN003,2026-02-21 07:53:15 IST,87.3,f,31.5,mm,35
SEN016,2026-08-08 03:37:21 IST,22.2�C,,35,millimeters,64
SEN017,2026-06-23 05:37:02 UTC,27.8�C,,27.8,millimeters,54
SEN006,2026-03-09 17:10:33 IST,24.5,Celsius,1.85,inches,53
SEN026,2026-02-28 06:37:06 UTC,60.4,f,30.2,MM,48
SEN042,2026-09-08 15:35:15 UTC,68.2,�F,36.6,MM,32
SEN049,2026-01-08 11:36:41 IST,64.8,F,1.23,in,76
SEN050,,86.7,F,-41,mm,30
SEN015,2026-05-29 14:30:58 UTC,69.4,�F,35,MM,73
SEN010,2026-04-02 14:35:40 UTC,39.8,�C,10.9,MM,60
SEN024,2026-03-03 03:47:32 IST,34.9�C,,0.13,inch,86
SEN043,2026-02-23 22:39:51 IST,75.2,Fahrenheit,15.5,MM,54
SEN022,2026-05-08 22:33:23 UTC,19.2,�C,41.5,mm,73
UNKNOWN,2026-06-06T10:49:01,39.4,�C,NA,,32
SEN005,02-19-2026 07:01 AM,33.4,C,-36.1,mm,58
SEN013,2026-04-05 04:06:44 UTC,20.4,C,37.4,MM,69
SEN032,2026-07-07 10:20:45 IST,25.1,Celsius,0.7,MM,47
SEN023,2026-04-10 14:53:25 UTC,20.8,�C,24.9,millimeters,63
SEN035,2026-09-09 08:53:34 UTC,24.5,Celsius,9.4,MM,42
SEN008,2026-05-09 13:10:41 IST,77,f,49.4,MM,74
SEN022,2026-01-05 15:29:01 UTC,96.3,f,-9.3,mm,69
SEN004,2026-01-08 07:40:03 IST,64.4,f,16.2,mm,73
SEN010,2026-04-24 06:17:47 IST,90.5,f,15.9,millimeters,
SEN012,2026-07-08 07:20:19 IST,17.2�C,,13.4,millimeters,66
SEN033,2026-08-16 21:33:20 IST,86.5,Fahrenheit,1.91,inches,86
SEN018,2026-08-06 23:08:40 IST,99.1,F,-36.7,mm,
SEN025,2026-04-09 22:52:47 UTC,71.1,Fahrenheit,42.8,MM,63
SEN019,2026-03-17T11:37:36,38.9,c,1.13,in,59
SEN009,2026-07-02 10:16:14,39.2,C,NA,,68
SEN042,2026-06-25 11:26:13 IST,30.2,�C,-9,mm,40
SEN016,,28.8�C,,33.6,MM,68
UNKNOWN,2026-03-06 07:07:35 UTC,92.8,F,NA,,45
SEN007,12/08/2026 01:05,16.9�C,,24.3,MM,89
SEN025,,90.9,Fahrenheit,23.4,millimeters,91
SEN020,2026-03-10 22:43:10 IST,25.6�C,,16.1,MM,94
SEN049,,37.9,Celsius,1.51,inch,33
SEN017,01-20-2026 05:46 PM,22.1,Celsius,27.2,millimeters,40
SEN003,2026-01-06 14:27:20 UTC,93.4,F,1.75,in,92
SEN026,2026-02-26 20:25:00 IST,69.4,F,29.1,mm,43
SEN013,2026-04-15 23:59:43 IST,32.9,c,34.2,mm,67
SEN040,2026-08-05 00:16:24 UTC,88.2,�F,-4.1,mm,54
SEN016,2026-05-31 18:57:07 IST,91.9,f,8.8,mm,95
SEN009,,87.8,f,NA,,71
SEN027,2026-01-28 05:17:48 IST,29.9,C,15.3,mm,90
SEN016,2026-02-20 15:12:04,75.2,F,0.8,millimeters,62
SEN001,2026-06-16 02:41:25,83.3,f,44.4,mm,93
SEN017,2026-08-26 08:46:23 IST,74.1,Fahrenheit,39.9,MM,53
SEN017,,69.8,�F,43.2,MM,62
SEN017,2026-01-29 01:46:11 IST,90.9,Fahrenheit,2.7,millimeters,72
UNKNOWN,2026-02-09 13:33:36 IST,18.6�C,,16.4,mm,
SEN014,2026-05-03 15:02:17 UTC,36.8�C,,18.3,mm,74
SEN002,2026-07-22 23:37:32 IST,73.4,Fahrenheit,0.88,inch,88
SEN046,2026-04-15 14:14:58 IST,28.5,C,30.1,mm,68
SEN003,2026-08-28 06:23:11 IST,27.9,c,-6.4,mm,40
SEN016,01-25-2026 01:54 PM,16.8,Celsius,12.2,MM,54
SEN011,2026-08-09 20:26:45 UTC,24.3,�C,NA,,67
UNKNOWN,2026-05-24 22:31:24 IST,18.9,Celsius,-31.4,mm,75
SEN012,2026-02-27 18:54:24 UTC,99.5,Fahrenheit,11.6,MM,38
SEN024,2026-08-31 08:07:30 UTC,97,f,1.45,in,94
SEN001,2026-05-24 00:23:13 UTC,31,�C,1.89,inches,64
SEN004,2026-07-26 16:32:42 IST,75.7,f,37.7,millimeters,59
SEN007,,34.3,c,NA,,
SEN025,2026-02-12 18:31:15 UTC,28.8,Celsius,31.8,MM,47
SEN035,27/01/2026 09:50,63.5,Fahrenheit,8.4,mm,48
SEN006,2026-07-20 05:21:57 IST,96.4,f,0.1,in,74
SEN040,,21.1�C,,47.2,mm,37
SEN024,2026-03-01 23:10:36 IST,36.3,Celsius,25.3,millimeters,81
SEN023,2026-05-22 19:29:58 UTC,61.2,f,-6.3,mm,61
SEN041,2026-01-10 22:47:05 UTC,74.5,�F,41.3,mm,65
SEN019,2026-05-28 16:32:18 UTC,22.4,Celsius,0.2,MM,83
SEN016,24/04/2026 07:56,39.1,Celsius,28.9,mm,
SEN046,2026-06-24 15:05:47 IST,40,c,31.3,millimeters,61
SEN021,2026-08-01 18:57:55 UTC,27.3,C,28.7,MM,47
SEN046,2026-02-20 08:26:10 UTC,25.3,Celsius,0.2,inches,93
SEN024,2026-06-25 21:18:32 UTC,18.8,�C,NA,,33
SEN044,,33.2�C,,44.8,millimeters,66
SEN028,2026-03-11 01:11:01,98.1,�F,1.27,inches,41
SEN003,2026-07-11 14:26:22 UTC,38.1,�C,43.7,mm,58
SEN013,2026-02-23 21:09:52 UTC,81.3,�F,20.1,MM,39
SEN042,,20.2,Celsius,7.6,MM,68
SEN046,2026-06-11 12:23:55 UTC,35.7,C,0.16,in,91
SEN030,09/03/2026 17:04,102.6,�F,9.1,mm,54
SEN019,2026-05-14 07:31:13 IST,69.6,F,33.9,MM,90
SEN044,2026-05-08 00:22:05 IST,34.9,C,20.6,mm,
UNKNOWN,2026-08-26 09:21:59 UTC,32.9,C,-7.5,mm,56
SEN046,24-Jan-2026 02:18:48,59.9,�F,3.6,MM,51
SEN007,2026-02-09 08:56:59 UTC,62.2,f,-45.7,mm,37
SEN033,2026-07-05 21:04:38 UTC,98.1,F,0.76,inch,
SEN001,02-24-2026 01:53 AM,34.7,Celsius,38.9,millimeters,76
SEN004,2026-08-13 19:34:20 IST,32.6,Celsius,2.1,mm,49
SEN003,2026-05-11 03:19:35 UTC,15.3�C,,21.2,MM,44
SEN033,2026-04-23 06:58:15 IST,33.6,C,44.6,mm,54
SEN046,2026-08-15 05:12:00 IST,21.9,Celsius,0.73,in,53
SEN003,2026-03-18 12:04:01 IST,77.5,Fahrenheit,-31.3,mm,
SEN017,2026-05-30 07:31:54 IST,33.0�C,,0.42,inches,86
SEN048,2026-04-04 19:12:32 IST,37.4,c,9.5,millimeters,40
SEN007,2026-01-18T18:19:34,33.6,�C,1.7,mm,40
SEN031,2026-08-30 15:48:10 IST,91.2,F,-14.7,mm,63
SEN023,2026-01-12 21:20:34 UTC,84.7,F,46.9,mm,55
UNKNOWN,2026-05-05 20:29:07 IST,30,�C,44.8,millimeters,42
SEN015,2026-05-21 17:26:14 IST,38.1,Celsius,NA,,49
SEN045,2026-03-31 06:26:10 UTC,32.4�C,,1.12,inches,
SEN032,2026-04-04 00:47:19 UTC,35.5,c,1.37,in,68
SEN005,2026-08-09 20:50:31 IST,24.8�C,,NA,,58
SEN017,2026-02-17 21:32:31 IST,87.4,F,0.1,inch,30
SEN040,2026-09-04 19:22:10 UTC,31.8�C,,8.2,mm,86
SEN023,2026-01-25 13:53:59 IST,82.6,Fahrenheit,0.54,inch,83
SEN004,2026-07-09 07:34:20 UTC,16.7,c,NA,,78
SEN014,2026-07-15 00:58:50 UTC,25.1,�C,18.1,millimeters,46
SEN013,2026-02-08 01:07:19 UTC,32.1�C,,0.09,in,60
SEN047,2026-05-29 23:32:49 UTC,38.7,c,9.3,MM,47
SEN036,2026-03-22 11:49:37 UTC,18.1�C,,0.03,inch,63
SEN032,2026-01-10 08:01:27,74.8,�F,10.7,mm,80
SEN036,,23.0�C,,15.5,millimeters,36
SEN035,2026-05-10 12:43:10 UTC,26.4�C,,-13.4,mm,46
SEN017,06-Aug-2026 22:11:36,30.8,�C,42.2,millimeters,89
SEN022,,39.7�C,,45.4,millimeters,69
SEN019,2026-09-07 01:39:50 UTC,28.1,c,38.6,mm,79
SEN007,2026-02-25 07:09:20 IST,63.9,Fahrenheit,0.57,inches,57
SEN031,2026-03-31 04:59:59 IST,23.6�C,,19.2,mm,68
SEN033,2026-03-24 06:41:34 UTC,60.1,�F,45.4,millimeters,36
SEN016,2026-08-09 07:58:02 UTC,100,Fahrenheit,1.4,mm,
SEN039,2026-08-29 14:06:11 UTC,20.4,�C,16.6,MM,
SEN007,2026-09-04 12:11:31 IST,94.6,�F,6.6,MM,40
UNKNOWN,2026-03-17 03:30:25 UTC,72.9,F,16.6,millimeters,51
SEN037,2026-06-04 20:06:29 IST,33.8�C,,8.1,mm,70
SEN025,2026-01-30 08:00:21,83.7,Fahrenheit,22.3,MM,
SEN048,2026-08-21 11:46:05 IST,36.4,C,49.2,MM,47
SEN048,2026-01-10 16:40:55 IST,26.4,C,18.7,millimeters,69
SEN048,2026-03-19 22:23:06 UTC,33.6,�C,7.2,mm,35
SEN034,2026-04-12 11:13:02 UTC,67.1,Fahrenheit,-13.6,mm,75
SEN008,2026-06-02 11:06:46 UTC,30.5,�C,21.3,MM,82
SEN002,2026-03-15 05:56:46 IST,15.5,Celsius,-30.8,mm,81
SEN007,2026-06-02 00:27:39 UTC,40.0�C,,14.4,millimeters,64
SEN049,2026-02-22 09:45:33 IST,101.3,F,10.7,MM,56
SEN028,2026-07-10 10:49:33 UTC,27.0�C,,1.28,in,48
SEN023,2026-03-31 13:07:16 UTC,64.9,f,40.4,mm,36
SEN008,2026-01-18 08:08:31 UTC,18.3,�C,37.8,millimeters,
SEN046,2026-02-14 02:14:11 IST,17.2,c,-7.9,mm,89
SEN023,2026-07-10 05:01:59 IST,25,Celsius,49,millimeters,84
SEN007,2026-06-19 00:21:21 UTC,72.5,Fahrenheit,5.4,MM,70
SEN028,2026-05-01 04:45:01 IST,82.6,�F,45.4,millimeters,45
SEN031,2026-01-19 16:38:37 UTC,18.3,�C,0.98,in,88
SEN041,2026-05-04 16:46:12 IST,31.6�C,,1.46,in,77
SEN010,,35.5,Celsius,0.52,in,52
SEN006,2026-03-20 20:59:52 IST,30.2�C,,0.69,inches,79
SEN021,2026-06-06 18:44:42 UTC,95.9,f,32,MM,
SEN005,,86.4,F,1.83,inches,47
SEN002,2026-05-07 06:36:08 IST,19.3,c,0.23,inch,88
SEN030,07-28-2026 04:58 PM,92.7,F,49,millimeters,55
SEN032,,61.5,Fahrenheit,28,mm,58
SEN006,2026-03-22 02:12:46 IST,33.5,C,1.74,inches,71
SEN046,2026-05-29 12:54:02,15.4,�C,0.85,in,53
SEN017,2026-09-04 02:49:28 UTC,77.9,�F,45.9,MM,46
SEN007,2026-01-08 13:00:45 IST,23.4,c,0.08,inch,72
SEN048,2026-08-13 10:09:38 IST,89.6,f,5.5,millimeters,43
SEN017,,25.3,Celsius,1.23,in,44
SEN001,2026-09-02 07:51:28 IST,29.6,C,21.8,millimeters,46
SEN044,2026-08-14 06:10:47 UTC,21.3,C,1.9,MM,39
UNKNOWN,03/04/2026 14:56,19.3,�C,1,MM,40
SEN032,2026-02-07 18:09:34 UTC,90.1,�F,0.59,in,82
SEN048,,27.9,Celsius,0.69,in,54
SEN027,2026-06-21 13:33:01 UTC,20.7,c,35.2,mm,
SEN006,2026-03-12 15:10:18 IST,31.2�C,,0.88,inches,52
SEN007,,17.4,�C,8,MM,64
SEN013,2026-06-02 03:52:56 IST,96.6,Fahrenheit,18.8,MM,70
SEN003,2026-06-08 02:27:33 IST,23.7�C,,1.8,inches,66
SEN019,2026-03-24 03:21:37 IST,23.8,C,13.3,MM,82
SEN016,01-11-2026 01:39 AM,29.5,c,20.4,mm,51
SEN033,2026-07-09 13:13:24 UTC,67.8,F,NA,,83
SEN002,2026-01-05 00:05:57 IST,91.2,�F,30.7,MM,38
SEN043,2026-06-09 15:47:17 IST,68.9,Fahrenheit,21.5,mm,66
SEN002,2026-05-19 01:36:24 UTC,81,Fahrenheit,37.8,millimeters,62
SEN045,2026-07-21 10:55:07 UTC,22.8,C,NA,,
SEN029,2026-01-03 21:54:06 IST,15.1,c,0.35,in,48
SEN029,2026-01-25 22:06:23 IST,36.5�C,,10.9,mm,
UNKNOWN,2026-08-06 21:55:18 UTC,77.9,F,1.47,inch,44
SEN018,2026-06-28 21:31:14 UTC,39.4,Celsius,30.3,millimeters,90
SEN021,2026-03-07 08:17:01 UTC,60.1,Fahrenheit,11.3,mm,84
SEN033,09/04/2026 12:22,76.3,f,-49.4,mm,83
SEN020,2026-07-03 13:55:02 IST,19.6�C,,NA,,45
SEN044,2026-05-10 03:46:40 UTC,34.2�C,,1.78,inch,42
SEN040,,86.7,Fahrenheit,37,mm,67
SEN023,2026-05-09 22:35:00 UTC,99.7,Fahrenheit,42.7,mm,87
SEN008,18/02/2026 13:24,79.2,f,-10.7,mm,52
SEN016,2026-05-26 11:00:49 IST,70.7,f,30.3,MM,78
SEN029,2026-08-19 19:54:44 IST,94.1,Fahrenheit,36.5,millimeters,42
SEN002,2026-02-11 20:04:25 UTC,30.4,c,1.93,inch,39
SEN024,2026-01-10 01:40:07 UTC,22.8,c,-22.7,mm,61
SEN005,2026-02-14 21:21:43 IST,19.5�C,,22.5,MM,67
SEN018,2026-06-24 01:58:27 IST,23.3,C,-48.6,mm,72
UNKNOWN,2026-07-14 13:30:03 IST,16,�C,1.72,in,43
SEN049,01-27-2026 01:53 AM,61.7,�F,17.7,millimeters,55
SEN048,2026-05-10 17:44:10 IST,38.3,c,NA,,55
SEN016,2026-03-12 17:19:47 UTC,61.3,Fahrenheit,NA,,47
SEN028,2026-03-20 18:57:23 UTC,95.9,f,6.1,millimeters,83
SEN018,2026-08-05 06:08:35 IST,96.1,�F,1.03,inches,56
SEN049,2026-08-27 11:51:48 IST,101.7,f,28.5,MM,51
SEN029,2026-02-02 17:19:11 UTC,20.3,C,29.9,millimeters,70
SEN032,2026-07-25 18:31:16,31.2,�C,1.56,inches,40
SEN009,2026-06-01 20:39:01 IST,60.6,Fahrenheit,0.88,inches,52
