Trip_ID	Mandi_ID	Destination_Warehouse	Departure_Time	Arrival_Time	Is_Arrival_Time_Imputed	Transit_Hours	Is_Transit_Hours_Negative_Flag	Is_Transit_Hours_Imputed	Distance	Distance_Unit	Vehicle_No	Driver_ID	Is_Driver_ID_Imputed
TRP000045	MANDI041	WH-Central	14-07-2026 16:25	14-07-2026 18:37	FALSE	2.2	FALSE	FALSE	69.9042375	miles		DRV687	FALSE
TRP000046	MANDI057	Export-Terminal	02-02-2026 18:19	03-02-2026 08:31	FALSE	14.2	FALSE	FALSE	830.2	km		DRV484	FALSE
TRP000047	MANDI029	WH-North	20-04-2026 02:05	20-04-2026 10:59	FALSE	8.9	FALSE	FALSE	411.9	km	DL-68-AB-6783	UNASSIGNED	TRUE
TRP000048	MANDI056	WH-Central	17-06-2026 16:33	18-06-2026 00:00	FALSE	18	FALSE	FALSE	731	km	UP-49-BC-3286	DRV339	FALSE
TRP000049	MANDI006	WH-Central	26-03-2026 00:00	27-03-2026 06:37	FALSE	11.3	FALSE	FALSE	383.385907	miles	PB-82-AB-6389	DRV436	FALSE
TRP000050	MANDI003	WH-North	06-01-2026 07:36	06-01-2026 11:06	FALSE	3.5	FALSE	FALSE	206.5	km	RJ-24-BC-6494	DRV472	FALSE
TRP000051	MANDI003	Export-Terminal	19-02-2026 14:01	19-02-2026 18:19	FALSE	4.3	FALSE	FALSE	251.8	km		DRV136	FALSE
TRP000052	MANDI019	WH-Central	06-09-2026 06:10	06-09-2026 21:10	FALSE	15	FALSE	FALSE	745	km	UP-66-CD-1182	DRV648	FALSE
TRP000053	MANDI007	Export-Terminal	29-05-2026 10:47	30-05-2026 09:17	FALSE	22.5	FALSE	TRUE	1158.7	km	HR-12-BC-9969	DRV763	FALSE
TRP000054	MANDI055	WH-West	05-01-2026 02:51	05-01-2026 23:21	TRUE	20.5	FALSE	FALSE	1073.2	km	PB-53-BC-2295	DRV354	FALSE
TRP000055	MANDI024	Export-Terminal	10-06-2026 23:57	11-06-2026 18:27	FALSE	18.5	FALSE	FALSE	1078.2 KM		RJ-98-BC-3357	DRV594	FALSE
TRP000056	MANDI022	WH-North	04-07-2026 13:53	05-07-2026 10:23	FALSE	20.5	FALSE	FALSE	895.1	km	RJ-84-CD-4226	DRV542	FALSE
TRP000057	MANDI014	WH-Central	13-03-2026 17:38	14-03-2026 08:56	FALSE	15.3	FALSE	FALSE	878.6	km		DRV716	FALSE
TRP000058	MANDI007	WH-South	27-04-2026 23:18	28-04-2026 07:06	FALSE	7.8	FALSE	FALSE	390.7	km		DRV863	FALSE
TRP000059	MANDI053	WH-East	03-09-2026 03:03	03-09-2026 05:39	FALSE	2.6	FALSE	FALSE	109.1	km	UP-79-BC-8578	DRV941	FALSE
TRP000060	MANDI043	WH-East	02-07-2026 20:51	03-07-2026 16:51	FALSE	20	TRUE	FALSE	613.293177	miles	PB-51-AB-9125	DRV643	FALSE
TRP000061	MANDI020	WH-Central	07-05-2026 14:38	08-05-2026 00:00	FALSE	11.7	FALSE	FALSE	586.3	km		DRV249	FALSE
TRP000062	MANDI014	WH-Central	19-01-2026 07:40	19-01-2026 12:52	FALSE	5.2	FALSE	FALSE	229.2	km	HR-26-CD-9362	DRV734	FALSE
TRP000063	MANDI012	WH-West	25-03-2026 20:45	26-03-2026 00:15	FALSE	3.5	FALSE	FALSE	143.2	km	PB-14-BC-7242	DRV407	FALSE
TRP000064	MANDI024	WH-North	13-01-2026 17:53	14-01-2026 16:11	FALSE	22.3	FALSE	FALSE	986.5 KM		PB-32-AB-1818	UNASSIGNED	TRUE
TRP000065	MANDI057	WH-West	03-01-2026 23:03	04-01-2026 14:51	FALSE	15.8	FALSE	FALSE	692.1 KM		PB-53-DF-8704	UNASSIGNED	TRUE
TRP000066	MANDI042	WH-East	12-08-2026 11:54	12-08-2026 00:00	FALSE	3	FALSE	FALSE	140	km		DRV609	FALSE
TRP000067	MANDI008	WH-Central	02-05-2026 23:33	03-05-2026 13:51	FALSE	14.3	FALSE	FALSE	433.5305467	miles	UP-16-AB-5839	UNASSIGNED	TRUE
TRP000068	MANDI048	WH-West	30-06-2026 04:37	30-06-2026 08:25	FALSE	3.8	FALSE	FALSE	155.7	km	RJ-11-AB-4878	DRV133	FALSE
TRP000069	MANDI002	WH-East	23-08-2026 14:45	24-08-2026 10:51	FALSE	20.1	FALSE	FALSE	514.6815993	miles	DL-91-DF-4719	DRV348	FALSE
TRP000070	MANDI024	WH-North	30-01-2026 07:36	30-01-2026 12:24	FALSE	4.8	FALSE	FALSE	216.3	km	DL-46-BC-9544	DRV486	FALSE
TRP000071	MANDI015	Export-Terminal	13-05-2026 01:57	13-05-2026 05:27	FALSE	3.5	FALSE	TRUE	191.6	km	HR-73-DF-7557	DRV808	FALSE
TRP000072	MANDI029	WH-South	22-07-2026 00:20	22-07-2026 17:02	FALSE	16.7	FALSE	TRUE	857.2	km	DL-85-DF-4744	DRV122	FALSE
TRP000073	MANDI038	WH-West	19-01-2026 13:29	19-01-2026 15:53	FALSE	2.4	FALSE	TRUE	120.8	km	RJ-60-AB-5280	DRV544	FALSE
TRP000074	MANDI049	WH-North	14-08-2026 20:31	15-08-2026 02:31	FALSE	6	FALSE	FALSE	206.295172	miles	PB-97-DF-5865	DRV937	FALSE
TRP000075	MANDI022	WH-Central	02-03-2026 13:24	03-03-2026 06:36	FALSE	17.2	FALSE	FALSE	908.4	km	HR-99-AB-6586	DRV207	FALSE
TRP000076	MANDI056	WH-West	30-01-2026 06:46	31-01-2026 03:34	FALSE	20.8	FALSE	FALSE	1009.3 KM			DRV823	FALSE
TRP000077	MANDI034	WH-West	29-03-2026 12:23	30-03-2026 02:29	FALSE	14.1	FALSE	FALSE	791.7	km	UP-80-BC-9290	DRV723	FALSE
TRP000078	MANDI018	WH-South	21-07-2026 05:17	21-07-2026 15:23	FALSE	10.1	FALSE	FALSE	328.7673961	miles		DRV945	FALSE
TRP000079	MANDI023	WH-West	28-07-2026 00:00	28-07-2026 22:33	FALSE	21.5	FALSE	FALSE	1212.3	km	HR-60-AB-1135	DRV850	FALSE
TRP000080	MANDI002	Export-Terminal	16-04-2026 10:27	16-04-2026 23:33	FALSE	13.1	TRUE	FALSE	678.8 KM		RJ-44-CD-2954	DRV248	FALSE
TRP000081	MANDI015	WH-North	18-08-2026 12:23	19-08-2026 07:29	TRUE	19.1	FALSE	FALSE	1128.5	km	UP-45-BC-4745	DRV525	FALSE
TRP000082	MANDI017	WH-North	17-06-2026 02:22	17-06-2026 18:58	TRUE	16.6	FALSE	FALSE	884.8	km	UP-98-AB-7877	DRV204	FALSE
TRP000083	MANDI046	WH-East	17-08-2026 12:34	17-08-2026 15:16	FALSE	2.7	FALSE	FALSE	125.1	km		DRV152	FALSE
TRP000084	MANDI023	WH-West	18-05-2026 18:38	19-05-2026 00:00	FALSE	22.8	TRUE	FALSE	1341.8	km	HR-25-BC-5574	DRV240	FALSE
TRP000085	MANDI031	WH-North	25-05-2026 16:36	26-05-2026 12:18	FALSE	19.7	FALSE	FALSE	655.1735824	miles	HR-34-DF-8055	DRV866	FALSE
TRP000086	MANDI015	WH-East	03-02-2026 16:51	04-02-2026 03:15	FALSE	10.4	FALSE	FALSE	543.5	km	HR-24-BC-5352	DRV582	FALSE
TRP000087	MANDI009	WH-Central	26-01-2026 01:22	27-01-2026 00:22	FALSE	23	FALSE	FALSE	1140	km	UP-49-AB-3867	UNASSIGNED	TRUE
TRP000088	MANDI026	WH-East	20-06-2026 18:29	21-06-2026 15:41	FALSE	21.2	FALSE	FALSE	881.1	km	RJ-83-DF-3831	DRV609	FALSE
TRP000089	MANDI020	WH-South	12-08-2026 22:08	13-08-2026 18:26	TRUE	20.3	FALSE	FALSE	1145.1	km	RJ-47-CD-9999	DRV122	FALSE
TRP000090	MANDI036	WH-East	02-01-2026 14:07	02-01-2026 17:13	FALSE	3.1	FALSE	FALSE	149.8	km	PB-17-BC-1200	DRV730	FALSE
TRP000091	MANDI020	WH-South	28-08-2026 23:37	29-08-2026 15:25	FALSE	15.8	FALSE	FALSE	880.4	km	PB-56-DF-2034	DRV647	FALSE
TRP000092	MANDI030	WH-Central	30-01-2026 00:00	30-01-2026 20:46	FALSE		FALSE	FALSE	247.5	km	RJ-53-DF-5258	DRV420	FALSE
TRP000093	MANDI017	WH-South	03-09-2026 04:37	03-09-2026 12:25	FALSE	7.8	FALSE	FALSE	341.5	km	DL-11-CD-5128	DRV289	FALSE
TRP000094	MANDI013	WH-East	23-04-2026 10:27	23-04-2026 18:33	FALSE	8.1	FALSE	FALSE	331.4	km	UP-98-AB-7313	DRV923	FALSE
TRP000095	MANDI044	WH-East	02-09-2026 04:06	03-09-2026 01:06	FALSE	21	FALSE	FALSE	1110.8	km	PB-33-BC-7431	DRV347	FALSE
TRP000096	MANDI053	WH-South	15-06-2026 08:45	15-06-2026 18:57	FALSE	10.2	FALSE	FALSE	420.7	km	UP-40-AB-8577	DRV290	FALSE
TRP000097	MANDI028	WH-North	06-03-2026 06:14	06-03-2026 08:26	FALSE	2.2	FALSE	FALSE	67.0459309	miles	HR-93-AB-3314	DRV749	FALSE
TRP000098	MANDI049	Export-Terminal	31-03-2026 04:51	31-03-2026 07:39	FALSE	2.8	FALSE	FALSE	135.3	km	UP-99-CD-1048	DRV327	FALSE
TRP000099	MANDI043	WH-West	20-07-2026 00:00	21-07-2026 03:10	FALSE	3.8	FALSE	FALSE	185	km	UP-84-CD-9412	DRV393	FALSE
TRP000100	MANDI030	WH-East	03-01-2026 02:21	03-01-2026 12:39	FALSE	10.3	FALSE	FALSE	566.3 KM		RJ-40-AB-1128	DRV298	FALSE
TRP000101	MANDI024	WH-West	10-03-2026 05:59	10-03-2026 22:35	FALSE	16.6	FALSE	FALSE	978.1	km	UP-59-DF-7153	UNASSIGNED	TRUE
TRP000102	MANDI012	WH-South	21-03-2026 04:52	21-03-2026 08:28	FALSE	3.6	FALSE	FALSE	194.8	km	DL-43-AB-6104	DRV593	FALSE
TRP000103	MANDI039	WH-South	15-01-2026 15:54	16-01-2026 12:18	FALSE	20.4	FALSE	FALSE	517.602043	miles	PB-94-DF-1711	DRV219	FALSE
TRP000104	MANDI056	Export-Terminal	08-02-2026 12:09	09-02-2026 11:33	FALSE	23.4	FALSE	FALSE	1153.6	km		DRV359	FALSE
TRP000105	MANDI047	WH-Central	04-04-2026 19:01	05-04-2026 16:25	FALSE	21.4	FALSE	FALSE	1023.4	km	RJ-70-AB-6180	DRV623	FALSE
TRP000106	MANDI006	WH-South	31-03-2026 18:40	01-04-2026 18:34	FALSE	23.9	FALSE	FALSE	869.0494806	miles	PB-45-CD-8037	DRV869	FALSE
TRP000107	MANDI017	WH-East	01-04-2026 12:43	02-04-2026 10:25	FALSE	21.7	FALSE	FALSE	1162.5	km	HR-59-BC-9268	DRV690	FALSE
TRP000108	MANDI035	WH-Central	06-03-2026 03:20	06-03-2026 12:08	FALSE	8.8	FALSE	FALSE	483.2	km	RJ-26-BC-7932	DRV885	FALSE
TRP000109	MANDI019	WH-South	12-06-2026 16:02	13-06-2026 00:00	FALSE	11	FALSE	FALSE	554.5	km	PB-95-CD-1826	DRV700	FALSE
TRP000110	MANDI024	WH-North	03-07-2026 05:32	03-07-2026 16:02	FALSE	10.5	FALSE	FALSE	353.0630022	miles	DL-99-CD-5879	DRV855	FALSE
TRP000111	MANDI036	WH-Central	07-04-2026 18:40	08-04-2026 18:22	FALSE	23.7	FALSE	FALSE	1301.3	km		DRV779	FALSE
TRP000112	MANDI048	WH-North	18-05-2026 01:45	19-05-2026 00:27	FALSE	22.7	FALSE	FALSE	1204.6	km	RJ-10-BC-7198	UNASSIGNED	TRUE
TRP000113	MANDI056	WH-North	02-07-2026 23:24	03-07-2026 07:18	FALSE	7.9	FALSE	FALSE	454.4	km		DRV114	FALSE
TRP000114	MANDI034	WH-North	28-07-2026 04:38	28-07-2026 18:56	FALSE	14.3	FALSE	FALSE	575.8	km	UP-20-CD-6762	DRV931	FALSE
TRP000115	MANDI010	Export-Terminal	29-08-2026 21:51	30-08-2026 13:45	FALSE	15.9	FALSE	FALSE	869.2 KM		HR-42-DF-3377	DRV285	FALSE
TRP000116	MANDI035	WH-West	19-01-2026 00:00	19-01-2026 08:02	FALSE	3.5	FALSE	FALSE	191.6	km	DL-20-CD-9526	DRV756	FALSE
TRP000117	MANDI051	WH-South	02-01-2026 13:16	03-01-2026 12:34	FALSE	23.3	TRUE	FALSE	1256.1	km	HR-57-CD-5729	DRV465	FALSE
TRP000118	MANDI008	WH-North	07-02-2026 06:04	07-02-2026 12:34	FALSE	6.5	FALSE	FALSE	321.6	km	DL-82-DF-2485	UNASSIGNED	TRUE
TRP000119	MANDI055	WH-North	07-08-2026 00:21	07-08-2026 08:51	FALSE	8.5	FALSE	FALSE	429.7	km	HR-38-BC-2258	DRV678	FALSE
TRP000120	MANDI023	WH-South	15-02-2026 00:00	15-02-2026 19:14	FALSE	18	FALSE	FALSE	463.1078063	miles	PB-72-CD-4744	DRV212	FALSE
TRP000121	MANDI002	Export-Terminal	06-06-2026 04:39	06-06-2026 13:27	TRUE	8.8	FALSE	FALSE	353.1	km	DL-86-DF-3217	DRV601	FALSE
TRP000122	MANDI020	WH-East	08-05-2026 03:18	08-05-2026 23:18	FALSE	20	FALSE	FALSE	893.4	km	PB-99-BC-3497	DRV881	FALSE
TRP000123	MANDI042	Export-Terminal	03-03-2026 21:58	04-03-2026 06:34	FALSE	8.6	FALSE	FALSE	480.5	km	UP-80-CD-3197	DRV218	FALSE
TRP000124	MANDI009	WH-East	28-04-2026 11:46	29-04-2026 07:34	FALSE	19.8	TRUE	FALSE	974.1	km	PB-58-CD-9070	DRV211	FALSE
TRP000125	MANDI033	WH-East	20-02-2026 18:11	21-02-2026 00:00	FALSE	16.4	FALSE	FALSE	758.4	km	RJ-10-AB-7307	DRV922	FALSE
TRP000126	MANDI045	WH-Central	26-08-2026 22:52	27-08-2026 00:00	FALSE	9.9	FALSE	FALSE	448.2	km	DL-71-AB-2316	DRV979	FALSE
TRP000127	MANDI027	WH-West	11-04-2026 14:44	12-04-2026 06:14	FALSE	15.5	FALSE	FALSE	766.5	km		DRV372	FALSE
TRP000128	MANDI057	WH-South	15-05-2026 04:43	15-05-2026 13:49	TRUE	9.1	FALSE	FALSE	469	km		DRV620	FALSE
TRP000129	MANDI025	WH-North	30-06-2026 18:53	01-07-2026 09:53	FALSE	15	FALSE	FALSE	854.0 KM		UP-10-AB-3391	UNASSIGNED	TRUE
TRP000130	MANDI010	Export-Terminal	29-04-2026 06:13	30-04-2026 05:25	FALSE	23.2	FALSE	FALSE	1134.1	km	RJ-75-BC-1652	UNASSIGNED	TRUE
TRP000131	MANDI018	Export-Terminal	20-03-2026 14:08	21-03-2026 03:20	FALSE	13.2	FALSE	FALSE	759.9	km	PB-11-BC-7253	DRV741	FALSE
TRP000132	MANDI056	Export-Terminal	12-05-2026 20:36	13-05-2026 00:00	FALSE	20.1	FALSE	FALSE	1195.8	km	DL-51-BC-5902	DRV974	FALSE
TRP000133	MANDI050	Export-Terminal	09-09-2026 04:56	09-09-2026 17:14	TRUE	12.3	FALSE	FALSE	535.5	km	PB-16-AB-6063	DRV243	FALSE
TRP000134	MANDI040	WH-West	04-09-2026 06:00	05-09-2026 04:42	TRUE	22.7	FALSE	FALSE	1077.4	km	HR-49-CD-1351	DRV418	FALSE
TRP000135	MANDI015	WH-West	11-08-2026 19:15	12-08-2026 08:09	FALSE	12.9	FALSE	FALSE	389.1025202	miles		DRV954	FALSE
TRP000136	MANDI014	Export-Terminal	04-05-2026 08:28	04-05-2026 15:40	FALSE	7.2	FALSE	FALSE	312.1	km		DRV652	FALSE
TRP000137	MANDI047	WH-Central	26-03-2026 03:57	26-03-2026 13:15	FALSE	9.3	FALSE	FALSE	542.7	km	DL-93-AB-9073	DRV204	FALSE
TRP000138	MANDI017	WH-West	21-03-2026 07:22	21-03-2026 09:52	FALSE	2.5	FALSE	FALSE	131.2 KM		DL-86-BC-9789	DRV974	FALSE
TRP000139	MANDI044	WH-West	15-04-2026 16:15	16-04-2026 09:21	FALSE	17.1	FALSE	FALSE	800.2	km		DRV392	FALSE
TRP000140	MANDI003	WH-East	30-04-2026 20:19	01-05-2026 17:37	FALSE	21.31	FALSE	TRUE	993.8	km	DL-30-DF-3873	UNASSIGNED	TRUE
TRP000141	MANDI013	WH-East	22-03-2026 03:45	22-03-2026 07:45	FALSE	4	FALSE	FALSE	184	km	UP-80-CD-6664	DRV592	FALSE
TRP000142	MANDI019	WH-West	07-01-2026 18:47	08-01-2026 11:29	FALSE	16.7	FALSE	FALSE	997.2	km		DRV320	FALSE
TRP000143	MANDI023	Export-Terminal	07-02-2026 07:45	08-02-2026 04:39	FALSE	20.9	FALSE	FALSE	1094.4	km	DL-17-BC-6650	UNASSIGNED	TRUE
TRP000144	MANDI014	WH-East	30-01-2026 22:13	31-01-2026 13:43	FALSE	15.5	FALSE	FALSE	729.8 KM		DL-73-CD-3550	DRV919	FALSE
TRP000145	MANDI021	Export-Terminal	12-05-2026 04:46	12-05-2026 21:22	FALSE	16.6	FALSE	FALSE	919.1	km	PB-35-CD-3505	DRV846	FALSE
TRP000146	MANDI027	WH-North	19-02-2026 00:00	19-02-2026 22:56	FALSE	7.7	FALSE	FALSE	320.6	km	UP-52-CD-3091	DRV905	FALSE
TRP000147	MANDI040	WH-East	20-07-2026 18:40	20-07-2026 21:40	FALSE	3	FALSE	FALSE	159.9	km	HR-28-AB-1489	DRV960	FALSE
TRP000148	MANDI037	Export-Terminal	10-02-2026 15:33	11-02-2026 06:09	FALSE	14.6	FALSE	FALSE	489.7646222	miles	UP-68-BC-9093	DRV261	FALSE
TRP000149	MANDI053	WH-South	09-06-2026 03:31	09-06-2026 09:49	FALSE	6.3	FALSE	FALSE	335.4	km		DRV767	FALSE
TRP000150	MANDI050	WH-Central	15-08-2026 09:59	15-08-2026 12:53	FALSE	2.9	FALSE	FALSE	141.1	km	DL-93-AB-2887	DRV958	FALSE
TRP000151	MANDI022	Export-Terminal	22-05-2026 04:16	22-05-2026 22:16	FALSE	18	FALSE	FALSE	949.7	km	UP-34-CD-9203	DRV258	FALSE
TRP000152	MANDI022	Export-Terminal	19-04-2026 20:20	20-04-2026 16:56	FALSE	20.6	TRUE	FALSE	707.5551577	miles		DRV341	FALSE
TRP000153	MANDI045	WH-Central	20-03-2026 04:33	20-03-2026 08:33	FALSE	4	FALSE	FALSE	122.9693209	miles	HR-42-BC-8462	DRV177	FALSE
TRP000154	MANDI055	WH-East	21-02-2026 19:40	22-02-2026 09:46	FALSE	14.1	FALSE	FALSE	506.7901876	miles	HR-36-AB-1625	DRV899	FALSE
TRP000155	MANDI047	WH-West	19-04-2026 19:48	20-04-2026 03:30	FALSE	7.7	FALSE	FALSE	373.4	km	UP-40-AB-8786	DRV951	FALSE
TRP000156	MANDI033	WH-West	28-01-2026 00:00	29-01-2026 12:40	FALSE	20.4	FALSE	FALSE	913.4 KM		UP-80-AB-9874	DRV694	FALSE
TRP000157	MANDI009	WH-Central	26-06-2026 18:31	27-06-2026 03:25	FALSE	8.9	FALSE	FALSE	472.8	km	DL-71-AB-6156	UNASSIGNED	TRUE
TRP000158	MANDI050	WH-South	11-04-2026 00:00	12-04-2026 01:52	FALSE	12.8	FALSE	FALSE	667.2	km	PB-30-DF-6042	DRV583	FALSE
TRP000159	MANDI031	WH-North	27-05-2026 14:17	27-05-2026 18:47	FALSE	4.5	FALSE	FALSE	194.4	km	PB-74-AB-1133	DRV297	FALSE
TRP000160	MANDI026	Export-Terminal	20-01-2026 09:11	20-01-2026 16:53	FALSE	7.7	FALSE	FALSE	375	km	DL-17-BC-4398	DRV177	FALSE
TRP000161	MANDI004	WH-Central	12-06-2026 18:52	13-06-2026 00:00	FALSE	9.5	FALSE	FALSE	524.0 KM		UP-53-DF-2007	DRV190	FALSE
