date,Mandi_ID,Crop,Min_Price,Max_Price,Modal_Price,MSP,Mandi_Name,District,State,Mandi_Type,Total_Area_Acres,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity,Sensor_Count,Price_Crash,Total_Arrivals_Qtl,Farmer_Count,Arrival_Records,Price_Risk_Score,Supply_Pressure_Score,Transport_Risk_Score,Priority_Score
2026-01-01,MANDI020,Mustard,4923.81,5259.33,5092.0,5650.0,Kadapa Mandi,Ferozepur,Punjab,DIRECT,26.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,80.15984015984016,68.38466338726647,66.22203098106714,73.83972529231345
2026-01-01,MANDI020,Wheat,1977.77,2147.83,2063.0,2275.0,Kadapa Mandi,Ferozepur,Punjab,DIRECT,26.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,80.15984015984016,68.38466338726647,66.22203098106714,73.83972529231345
2026-01-01,MANDI021,Mustard,5352.48,5804.0,5578.0,5650.0,Guna Mandi,Ferozepur,Punjab,APMC,21.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,193.63,30.0,1.0,78.86390532544378,88.06151053660564,62.10653753026635,78.27171332975685
2026-01-01,MANDI023,Mustard,4807.96,5908.4,5358.18,5650.0,Panihati APMC,Karnal,Haryana,PRIVATE,38.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,252.81,30.0,1.0,61.99430199430198,76.59051246057696,85.9591836734694,71.16614147001795
2026-01-01,MANDI025,Rice,2181.78,2649.0,2415.59,2183.0,Dindigul APMC,Karnal,Haryana,APMC,28.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,83.13805399898115,86.693508964632,92.92207792207793,86.16149527329577
2026-01-01,MANDI030,Maize,1896.0,2313.11,2104.71,2090.0,Patiala APMC,Sirsa,Unknown,APMC,19.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,80.4733727810651,74.60102828562987,61.85983827493262,74.98896253120803
2026-01-01,MANDI031,Cotton,5820.0,6907.0,6363.59,6620.0,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,75.2628666297731,78.53667262463813,76.89873417721519,76.57218193772103
2026-01-01,MANDI033,Rice,2234.4,2517.2799999999997,2376.0,2183.0,South Dumdum Grain Market,Ambala,Haryana,APMC,31.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,88.24699110413397,82.29438421305494,86.78571428571429,86.16895367312632
2026-01-01,MANDI034,Mustard,5923.0,6789.25,6356.0,5650.0,Ludhiana Grain Market,Ambala,Haryana,APMC,11.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,80.34461538461538,77.25248517221951,83.41367221735321,80.03078768744419
2026-01-01,MANDI036,Rice,1988.0,2108.27,2048.06,2183.0,Mysore Grain Market,Kurukshetra,Haryana,APMC,9.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,75.37505972288581,80.01283589980646,65.59385382059801,74.81015139550445
2026-01-01,MANDI038,Sugarcane,2998.81,3673.71,3336.26,3500.0,Jalandhar Mandi,Kurukshetra,Haryana,PRIVATE,36.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,90.5625717566016,82.01748808549404,65.32258064516128,82.95104843298127
2026-01-01,MANDI039,Maize,2118.79,2579.0,2348.7,2090.0,Anand Grain Market,Unknown,Haryana,APMC,5.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,79.01022054868207,79.24579357616419,74.65437788018433,78.20972392322716
2026-01-01,MANDI041,Mustard,5270.0,6228.28,5749.0,5650.0,Gurgaon Grain Market,Fatehabad,Haryana,APMC,39.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,349.89,65.0,1.0,89.28956393924548,88.12206358446895,84.24254317111462,87.92990967918635
2026-01-01,MANDI042,Sugarcane,3442.79,4171.68,3807.24,3500.0,Erode Mandi,Fatehabad,Haryana,PRIVATE,38.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,87.9375696767001,71.72639651903968,62.36099230111207,77.95890225428437
2026-01-01,MANDI043,Wheat,2207.69,,2287.0,,Danapur Mandi,Agra,Uttar Pradesh,PRIVATE,28.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,86.52400231347598,60.10451362824802,69.88362760834673,75.27008076688175
2026-01-01,MANDI044,Maize,2044.9850000000001,2417.6949999999997,2231.51,2090.0,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,95.5542095699576,91.17910745259692,69.36953352769679,89.00474372629724
2026-01-01,MANDI044,Mustard,5148.0,6387.23,5767.6,5650.0,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,95.5542095699576,91.17910745259692,69.36953352769679,89.00474372629724
2026-01-01,MANDI044,Wheat,2279.54,2429.87,2355.0,2275.0,Dehri Mandi,Agra,Uttar Pradesh,APMC,41.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,95.5542095699576,91.17910745259692,69.36953352769679,89.00474372629724
2026-01-01,MANDI046,Maize,1953.0,2245.76,2099.0,,Baranagar Market,Unknown,Uttar Pradesh,PRIVATE,13.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,363.05,110.0,1.0,100.0,69.39270206042458,73.86018237082067,85.5898470922915
2026-01-01,MANDI047,Cotton,5734.0,6167.06,5950.3,6620.0,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,28.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,88.00976800976801,89.47462812880947,97.6569608735214,90.37866461823113
2026-01-01,MANDI047,Sugarcane,3056.64,3611.39,3334.0,3500.0,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC,28.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,88.00976800976801,89.47462812880947,97.6569608735214,90.37866461823113
2026-01-01,MANDI049,Rice,2204.08,2401.0,2302.39,,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,PRIVATE,39.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,124.05,30.0,1.0,83.6923076923077,65.53228421744815,71.13583138173303,75.73300538773489
2026-01-01,MANDI052,Mustard,5615.0,6480.56,6047.84,5650.0,Kakinada APMC,Saharanpur,Uttar Pradesh,APMC,48.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,81.36752136752136,74.64605814080998,72.73469387755104,77.62451690151389
2026-01-01,MANDI054,Mustard,4935.33,5934.51,5434.92,,Nangloi Jat Grain Market,Saharanpur,Unknown,DIRECT,45.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,76.2197802197802,77.65398436673976,85.71428571428571,78.54894256276917
2026-01-01,MANDI055,Maize,2082.74,2593.6,2338.17,2090.0,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC,12.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,90.5625717566016,69.82213056659805,77.3671096345515,81.70134697519052
2026-01-01,MANDI055,Wheat,,2392.64,2257.69,2275.0,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC,12.0,28.44584905660377,1166.7,62.97560975609756,36.0,True,,,,90.5625717566016,69.82213056659805,77.3671096345515,81.70134697519052
2026-01-01,MANDI057,Maize,2134.91,2353.06,2243.98,2090.0,Gorakhpur APMC,Bareilly,Unknown,DIRECT,7.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,63.678929765886295,64.32344133301102,73.11616954474097,65.75973119179464
2026-01-01,MANDI057,Wheat,2057.0,2516.39,2286.56,,Gorakhpur APMC,Bareilly,Unknown,DIRECT,7.0,28.44584905660377,1166.7,62.97560975609756,36.0,False,,,,63.678929765886295,64.32344133301102,73.11616954474097,65.75973119179464
2026-01-02,MANDI002,Sugarcane,3045.86,3621.19,3333.53,3500.0,Solapur Mandi,Ludhiana,Unknown,APMC,37.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,81.51848151848152,76.99654615874924,84.58646616541354,80.77549783994823
2026-01-02,MANDI003,Sugarcane,3397.86,3717.0,3557.0,3500.0,Vijayawada Mandi,Ludhiana,Punjab,APMC,19.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,88.71384615384615,76.75115842536506,71.49014778325123,81.68030016118284
2026-01-02,MANDI005,Wheat,2058.71,2320.25,2189.0,2275.0,Bhilwara Grain Market,Amritsar,Punjab,DIRECT,29.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,83.99775407074677,82.66277263917692,73.57555739058628,81.51282030524371
2026-01-02,MANDI007,Maize,1799.0,1980.19,1889.0,2090.0,Nashik Mandi,Amritsar,Punjab,PRIVATE,45.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,81.68598524762908,72.96838250227479,82.6530612244898,79.26411961939495
2026-01-02,MANDI007,Sugarcane,3274.0,3961.86,3618.0,3500.0,Nashik Mandi,Amritsar,Punjab,PRIVATE,45.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,81.68598524762908,72.96838250227479,82.6530612244898,79.26411961939495
2026-01-02,MANDI008,Rice,2085.815,,2221.775,2183.0,Bijapur Market,Amritsar,Punjab,APMC,23.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,410.08,36.0,1.0,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904
2026-01-02,MANDI008,Wheat,2037.42,2539.0,2288.41,2275.0,Bijapur Market,Amritsar,Punjab,APMC,23.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904
2026-01-02,MANDI009,Cotton,6495.36,6966.16,6730.76,6620.0,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829
2026-01-02,MANDI009,Maize,1943.0,2310.0,2127.0,,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829
2026-01-02,MANDI009,Rice,1904.14,2083.09,1994.0,2183.0,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829
2026-01-02,MANDI013,Rice,1993.11,2097.48,2045.29,,Aurangabad Market,Patiala,Punjab,PRIVATE,25.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,77.49287749287748,65.59098694520264,71.84873949579833,72.7934827291592
2026-01-02,MANDI013,Sugarcane,3009.56,3710.0,3359.81,3500.0,Aurangabad Market,Patiala,Punjab,PRIVATE,25.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,77.49287749287748,65.59098694520264,71.84873949579833,72.7934827291592
2026-01-02,MANDI015,Cotton,,6619.95,6217.0,6620.0,Amravati Grain Market,Bathinda,Punjab,APMC,13.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,74.29208472686733,68.7356914985172,77.02874049027896,73.17249791104462
2026-01-02,MANDI015,Maize,1957.5,2273.965,2115.705,2090.0,Amravati Grain Market,Bathinda,Punjab,APMC,13.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,74.29208472686733,68.7356914985172,77.02874049027896,73.17249791104462
2026-01-02,MANDI016,Cotton,6393.08,7086.68,6739.88,6620.0,Kulti APMC,Bathinda,Punjab,APMC,42.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,69.74358974358972,72.36648473050971,77.24382946896037,72.03050618473985
2026-01-02,MANDI017,Maize,1932.0,2221.0,2076.37,,Parbhani Market,Unknown,Punjab,PRIVATE,8.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,405.37,0.0,1.0,84.29441062534588,80.21724901786989,80.62060889929742,82.33650179789339
2026-01-02,MANDI018,Maize,2001.0,2215.38,2107.94,2090.0,Jaunpur Mandi,Moga,Punjab,APMC,9.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,88.76456876456875,80.01267530969436,66.29464285714286,81.64501554662125
2026-01-02,MANDI022,Wheat,2315.87,2677.49,2496.68,2275.0,Eluru APMC,Karnal,Haryana,APMC,45.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,84.009324009324,84.87910568926034,91.27196333078686,85.72278637759747
2026-01-02,MANDI024,Maize,2174.42,2348.95,2262.0,,Jaipur Mandi,Karnal,Haryana,APMC,24.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,76.5097588978186,78.16563192538968,78.00963081861958,77.30649519025012
2026-01-02,MANDI025,Cotton,6408.4,6847.585,6560.415,6620.0,Dindigul APMC,Karnal,Haryana,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,1150.21,261.0,3.0,83.13805399898115,86.693508964632,92.92207792207793,86.16149527329577
2026-01-02,MANDI025,Mustard,5695.0,7109.75,6402.6,,Dindigul APMC,Karnal,Haryana,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,83.13805399898115,86.693508964632,92.92207792207793,86.16149527329577
2026-01-02,MANDI029,Sugarcane,3391.57,3720.25,3555.91,3500.0,Asansol Grain Market,Sirsa,Haryana,DIRECT,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,83.6923076923077,62.62819836467774,87.45847176079734,78.12630770771663
2026-01-02,MANDI030,Cotton,6588.46,7894.41,7241.0,,Patiala APMC,Sirsa,Unknown,APMC,19.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,80.4733727810651,74.60102828562987,61.85983827493262,74.98896253120803
2026-01-02,MANDI031,Cotton,5671.73,6777.3,6224.51,6620.0,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,75.2628666297731,78.53667262463813,76.89873417721519,76.57218193772103
2026-01-02,MANDI031,Wheat,2223.05,2744.3,2483.67,2275.0,Nangloi Jat Mandi,Sirsa,Haryana,APMC,22.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,75.2628666297731,78.53667262463813,76.89873417721519,76.57218193772103
2026-01-02,MANDI033,Maize,,2308.86,2162.95,2090.0,South Dumdum Grain Market,Ambala,Haryana,APMC,31.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,255.88,120.0,1.0,88.24699110413397,82.29438421305494,86.78571428571429,86.16895367312632
2026-01-02,MANDI034,Maize,1804.0,1903.0,1853.31,2090.0,Ludhiana Grain Market,Ambala,Haryana,APMC,11.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,80.34461538461538,77.25248517221951,83.41367221735321,80.03078768744419
2026-01-02,MANDI035,Sugarcane,3572.95,4096.59,3834.77,3500.0,Guntakal Mandi,Ambala,Haryana,APMC,17.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,1.7328,44.0,1.0,87.9375696767001,89.41117903868066,84.29517502365185,87.65117355468462
2026-01-02,MANDI037,Cotton,5889.0,6882.475,6385.775,6620.0,Jorhat Grain Market,Kurukshetra,Haryana,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,149.94,78.0,1.0,74.24317617866004,70.34784885358606,93.4151785714286,76.90897845969155
2026-01-02,MANDI037,Maize,2171.14,2329.07,2250.0,2090.0,Jorhat Grain Market,Kurukshetra,Haryana,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,74.24317617866004,70.34784885358606,93.4151785714286,76.90897845969155
2026-01-02,MANDI037,Wheat,,2654.0,2512.85,2275.0,Jorhat Grain Market,Kurukshetra,Haryana,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,74.24317617866004,70.34784885358606,93.4151785714286,76.90897845969155
2026-01-02,MANDI039,Maize,2091.22,2470.0,2280.38,2090.0,Anand Grain Market,Unknown,Haryana,APMC,5.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,79.01022054868207,79.24579357616419,74.65437788018433,78.20972392322716
2026-01-02,MANDI042,Cotton,6136.0,6538.69,6337.33,,Erode Mandi,Fatehabad,Haryana,PRIVATE,38.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,87.9375696767001,71.72639651903968,62.36099230111207,77.95890225428437
2026-01-02,MANDI042,Sugarcane,3410.0,4251.57,3830.61,3500.0,Erode Mandi,Fatehabad,Haryana,PRIVATE,38.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,87.9375696767001,71.72639651903968,62.36099230111207,77.95890225428437
2026-01-02,MANDI043,Sugarcane,3048.97,3637.11,3343.04,3500.0,Danapur Mandi,Agra,Uttar Pradesh,PRIVATE,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,217.77,13.0,1.0,86.52400231347598,60.10451362824802,69.88362760834673,75.27008076688175
2026-01-02,MANDI046,Mustard,5088.77,,5444.94,5650.0,Baranagar Market,Unknown,Uttar Pradesh,PRIVATE,13.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,100.0,69.39270206042458,73.86018237082067,85.5898470922915
2026-01-02,MANDI046,Wheat,2217.0,2652.0,,2275.0,Baranagar Market,Unknown,Uttar Pradesh,PRIVATE,13.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,348.13,138.0,1.0,100.0,69.39270206042458,73.86018237082067,85.5898470922915
2026-01-02,MANDI049,Cotton,,7363.69,6809.42,6620.0,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,PRIVATE,39.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,2.3586,0.0,1.0,83.6923076923077,65.53228421744815,71.13583138173303,75.73300538773489
2026-01-02,MANDI049,Rice,1968.0,2159.93,2064.09,2183.0,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,PRIVATE,39.0,27.81066666666667,1342.26,64.48148148148148,37.0,True,,,,83.6923076923077,65.53228421744815,71.13583138173303,75.73300538773489
2026-01-02,MANDI052,Mustard,5746.0,7164.0,6455.36,5650.0,Kakinada APMC,Saharanpur,Uttar Pradesh,APMC,48.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,81.36752136752136,74.64605814080998,72.73469387755104,77.62451690151389
2026-01-02,MANDI053,Cotton,5726.43,6303.78,,,Panihati Market,Saharanpur,Uttar Pradesh,APMC,28.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,65.80645161290323,57.950404144895174,63.891323400525856,63.066611730025336
2026-01-02,MANDI054,Sugarcane,3475.7,3824.27,3649.98,3500.0,Nangloi Jat Grain Market,Saharanpur,Unknown,DIRECT,45.0,27.81066666666667,1342.26,64.48148148148148,37.0,False,,,,76.2197802197802,77.65398436673976,85.71428571428571,78.54894256276917
2026-01-03,MANDI002,Mustard,5771.24,6931.52,6351.38,5650.0,Solapur Mandi,Ludhiana,Unknown,APMC,37.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,699.37,86.0,2.0,81.51848151848152,76.99654615874924,84.58646616541354,80.77549783994823
2026-01-03,MANDI002,Sugarcane,3357.69,3540.06,3448.88,,Solapur Mandi,Ludhiana,Unknown,APMC,37.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,81.51848151848152,76.99654615874924,84.58646616541354,80.77549783994823
2026-01-03,MANDI004,Cotton,6713.61,7482.19,7097.9,6620.0,Khandwa Grain Market,Ludhiana,Punjab,APMC,15.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,98.07692307692307,78.90813199489392,81.90619621342515,89.09214037961473
2026-01-03,MANDI005,Mustard,5470.0,6535.2,6003.0,5650.0,Bhilwara Grain Market,Amritsar,Punjab,DIRECT,29.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,83.99775407074677,82.66277263917692,73.57555739058628,81.51282030524371
2026-01-03,MANDI007,Mustard,5576.0,6735.94,6156.0,5650.0,Nashik Mandi,Amritsar,Punjab,PRIVATE,45.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,32.48,14.0,1.0,81.68598524762908,72.96838250227479,82.6530612244898,79.26411961939495
2026-01-03,MANDI008,Cotton,6766.96,,7130.0,6620.0,Bijapur Market,Amritsar,Punjab,APMC,23.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,381.02,149.0,1.0,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904
2026-01-03,MANDI008,Sugarcane,3155.6,3654.1,3404.85,3500.0,Bijapur Market,Amritsar,Punjab,APMC,23.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,True,,,,85.34412955465586,68.61959526525743,79.2091836734694,79.09978009159904
2026-01-03,MANDI009,Rice,2270.88,2813.0,2541.73,2183.0,Jamshedpur APMC,Jalandhar,Punjab,APMC,28.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,71.97538461538461,83.51712234062234,60.04043126684637,73.05091526324829
2026-01-03,MANDI011,Maize,1831.0,2227.0,2029.37,2090.0,Arrah Mandi,Patiala,Punjab,APMC,34.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,True,,,,78.0711825487945,100.0,92.35412474849095,87.50641622409543
2026-01-03,MANDI012,Mustard,4983.76,6212.94,5598.35,,Gaya Grain Market,Patiala,Punjab,APMC,48.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,483.58,0.0,1.0,77.61786600496276,72.95716909036163,89.140365448505,78.52415681929088
2026-01-03,MANDI016,Cotton,6903.0,7869.61,7386.3,6620.0,Kulti APMC,Bathinda,Punjab,APMC,42.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,69.74358974358972,72.36648473050971,77.24382946896037,72.03050618473985
2026-01-03,MANDI019,Rice,1950.06,2311.34,2130.7,2183.0,Karimnagar Grain Market,Moga,Punjab,PRIVATE,40.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,True,,,,95.59681697612731,69.92591084704216,68.5590421139554,82.48799016496739
2026-01-03,MANDI020,Mustard,5534.9,5909.52,5890.575000000001,5650.0,Kadapa Mandi,Ferozepur,Punjab,DIRECT,26.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,80.15984015984016,68.38466338726647,66.22203098106714,73.83972529231345
2026-01-03,MANDI021,Wheat,2140.0,2595.95,2367.99,2275.0,Guna Mandi,Ferozepur,Punjab,APMC,21.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,78.86390532544378,88.06151053660564,62.10653753026635,78.27171332975685
2026-01-03,MANDI023,Cotton,6401.68,7029.0,6715.19,6620.0,Panihati APMC,Karnal,Haryana,PRIVATE,38.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,False,,,,61.99430199430198,76.59051246057696,85.9591836734694,71.16614147001795
2026-01-03,MANDI025,Rice,2066.6,2195.75,2131.18,2183.0,Dindigul APMC,Karnal,Haryana,APMC,28.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,True,,,,83.13805399898115,86.693508964632,92.92207792207793,86.16149527329577
2026-01-03,MANDI027,Cotton,5915.36,7294.0,6604.56,6620.0,Kochi APMC,Hisar,Haryana,APMC,39.0,24.647096774193546,1480.1200000000001,59.98076923076923,35.0,True,,,,94.30119176598049,80.89703600978807,79.4740973312402,87.31452615217471
